                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2258,                 2.9085,                 3.0034,                 2.9036,                 3.6952,                  2.775,                0.46462,                0.40813,                0.39314,                0.21578,                 1.8185,                 1.6312,                 1.8196,                 1.6728,                 2.1306,                 1.6556,               0.070041,              0.0033288,              0.0033288
                      2,                 1.6396,                 1.3256,                 1.5443,                 1.7349,                 1.7817,                 1.4561,                0.62286,                0.58343,                0.61355,                0.39261,                 1.3136,                 1.1701,                 1.3707,                 1.3394,                 1.5542,                 1.3412,               0.039975,              0.0065962,              0.0065962
                      3,                 1.3856,                 1.1306,                 1.3274,                 1.5308,                 1.4851,                 1.2905,                 0.6811,                0.65603,                0.69959,                0.47976,                 1.1574,                 1.0251,                 1.2465,                 1.2295,                 1.3014,                 1.2491,              0.0098428,              0.0097976,              0.0097976
                      4,                 1.2321,                0.98911,                  1.225,                 1.3939,                 1.2602,                  1.209,                0.72194,                0.69373,                0.75469,                0.54324,                 1.0205,                 0.8581,                 1.1538,                 1.1026,                 1.0414,                 1.1669,               0.009703,               0.009703,               0.009703
                      5,                 1.1352,                0.89604,                 1.1737,                 1.3094,                 1.1246,                 1.1721,                0.74695,                 0.7227,                0.78386,                0.57966,                0.94204,                0.80699,                 1.1059,                 1.0296,                0.97664,                  1.117,               0.009703,               0.009703,               0.009703
                      6,                 1.0722,                0.82757,                 1.1409,                 1.2499,                 1.0342,                  1.142,                0.78296,                0.73329,                0.81129,                0.61033,                0.92034,                0.73303,                 1.0967,                 1.0057,                0.87432,                 1.1149,               0.009604,               0.009604,               0.009604
                      7,                 1.0384,                0.78894,                 1.1237,                 1.2192,                0.97942,                 1.1273,                0.78858,                0.75259,                0.82248,                0.62336,                0.88411,                0.70356,                 1.0789,                0.98004,                0.82809,                 1.1004,               0.009505,               0.009505,               0.009505
                      8,                0.99562,                0.75779,                 1.1062,                 1.1789,                0.93803,                 1.1131,                 0.8006,                0.76497,                0.83534,                0.64089,                0.84657,                0.67438,                 1.0589,                0.94313,                0.79306,                 1.0793,               0.009406,               0.009406,               0.009406
                      9,                0.97407,                0.73406,                 1.0937,                 1.1575,                0.89832,                 1.1002,                0.79665,                0.76861,                0.83975,                0.64344,                0.85602,                 0.6646,                 1.0593,                0.95306,                0.77846,                 1.0857,               0.009307,               0.009307,               0.009307
                     10,                0.95507,                0.71243,                 1.0843,                 1.1369,                0.86489,                 1.0922,                 0.8175,                 0.7767,                0.85723,                0.66471,                 0.8246,                0.63453,                  1.046,                0.92158,                0.71545,                 1.0691,               0.009208,               0.009208,               0.009208
