                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9498,                 2.6611,                 2.6352,                 2.7248,                 3.3525,                 2.4009,                 0.5444,                0.49367,                0.51366,                0.31462,                 1.4898,                 1.3678,                 1.5496,                 1.5229,                 1.8505,                 1.5025,               0.070014,              0.0033318,              0.0033318
                      2,                 1.4506,                 1.2084,                 1.3951,                 1.5966,                 1.6125,                 1.3642,                0.69062,                0.65224,                0.70254,                0.48554,                 1.1135,                0.96304,                 1.2331,                 1.1989,                 1.1879,                 1.2481,               0.039948,              0.0065991,              0.0065991
                      3,                 1.2488,                 1.0192,                 1.2395,                 1.4207,                 1.3062,                 1.2368,                0.73595,                0.69315,                0.75629,                 0.5423,                 1.0027,                0.86817,                 1.1578,                 1.1098,                  1.059,                 1.1859,              0.0098162,              0.0098005,              0.0098005
                      4,                 1.1349,                0.90743,                 1.1768,                 1.3247,                 1.1514,                 1.1886,                 0.7775,                0.71406,                0.79349,                 0.5937,                0.93747,                0.78591,                 1.1104,                 1.0246,                0.91806,                 1.1354,               0.009703,               0.009703,               0.009703
                      5,                 1.0598,                0.83398,                 1.1415,                  1.251,                 1.0271,                 1.1583,                 0.7811,                0.73886,                0.81171,                 0.6083,                0.88919,                0.73581,                 1.0868,                0.99088,                0.87729,                 1.1176,               0.009703,               0.009703,               0.009703
                      6,                 1.0226,                0.79651,                 1.1236,                 1.2129,                0.96109,                 1.1383,                 0.8074,                0.76248,                0.83879,                0.64362,                0.86097,                0.68166,                 1.0729,                0.95627,                0.77278,                 1.0953,               0.009604,               0.009604,               0.009604
                      7,                0.98691,                0.75797,                 1.1028,                 1.1758,                0.91135,                 1.1166,                0.81439,                0.77934,                0.85041,                0.65284,                0.84937,                0.66374,                 1.0624,                0.94723,                 0.7372,                 1.0877,               0.009505,               0.009505,               0.009505
                      8,                0.96218,                0.73689,                 1.0931,                 1.1492,                0.88014,                 1.1077,                 0.8123,                0.78442,                 0.8578,                0.66261,                0.82143,                0.64364,                 1.0481,                0.92272,                0.73672,                 1.0773,               0.009406,               0.009406,               0.009406
                      9,                 0.9502,                0.71969,                 1.0888,                 1.1333,                 0.8579,                 1.1023,                0.82423,                0.78821,                0.86477,                0.67039,                 0.8056,                0.62727,                 1.0405,                0.90725,                0.72114,                 1.0707,               0.009307,               0.009307,               0.009307
                     10,                0.93226,                0.69843,                 1.0789,                 1.1117,                0.82894,                  1.092,                0.82926,                0.80143,                0.87313,                0.68349,                0.80044,                0.60584,                 1.0377,                0.89216,                0.67176,                   1.06,               0.009208,               0.009208,               0.009208
                     11,                0.91872,                0.68966,                 1.0714,                 1.1014,                0.81302,                  1.085,                0.83036,                0.79959,                0.87447,                0.68865,                0.79066,                0.60173,                  1.034,                0.87611,                0.67815,                 1.0532,               0.009109,               0.009109,               0.009109
                     12,                 0.9089,                0.67649,                 1.0686,                 1.0861,                0.79435,                 1.0805,                0.83285,                0.81363,                0.88207,                0.69592,                0.77504,                0.58403,                 1.0243,                0.86834,                 0.6543,                 1.0467,                0.00901,                0.00901,                0.00901
                     13,                0.89276,                0.66224,                 1.0596,                  1.069,                0.77974,                 1.0713,                0.85052,                0.80774,                0.88491,                0.70166,                0.76429,                0.57524,                 1.0186,                0.84928,                0.63328,                 1.0356,               0.008911,               0.008911,               0.008911
                     14,                0.88891,                0.65921,                 1.0566,                 1.0611,                0.76665,                  1.067,                 0.8441,                0.81089,                0.88627,                0.70549,                0.75452,                0.57117,                 1.0077,                0.83773,                0.63806,                 1.0256,               0.008812,               0.008812,               0.008812
                     15,                 0.8768,                0.64744,                 1.0527,                 1.0495,                0.75596,                 1.0653,                0.84998,                0.81225,                0.88982,                0.70937,                0.75085,                0.55771,                 1.0079,                 0.8382,                0.61923,                 1.0257,               0.008713,               0.008713,               0.008713
                     16,                0.86929,                0.63775,                 1.0488,                   1.04,                0.74432,                 1.0602,                0.84698,                 0.8219,                0.89186,                 0.7134,                 0.7429,                0.54721,                 1.0042,                0.82431,                0.60552,                 1.0228,               0.008614,               0.008614,               0.008614
                     17,                0.86698,                0.63558,                  1.047,                 1.0361,                0.74222,                 1.0575,                0.85324,                 0.8179,                0.89275,                0.71623,                0.73233,                0.54517,                0.99685,                 0.8158,                0.60562,                 1.0158,               0.008515,               0.008515,               0.008515
                     18,                0.85739,                0.62934,                 1.0441,                 1.0243,                0.72703,                 1.0552,                0.84958,                0.82495,                0.89625,                0.72188,                0.72981,                0.54013,                0.99695,                0.80755,                0.60083,                 1.0148,               0.008416,               0.008416,               0.008416
                     19,                0.85082,                0.62186,                 1.0385,                 1.0175,                0.72372,                 1.0493,                0.85777,                 0.8243,                0.90008,                  0.725,                 0.7244,                0.52998,                0.99271,                0.80176,                0.58302,                 1.0072,               0.008317,               0.008317,               0.008317
                     20,                0.85089,                0.61818,                 1.0393,                 1.0173,                0.71221,                 1.0501,                0.86259,                0.83027,                0.90292,                0.72867,                0.71903,                0.52512,                0.99077,                0.79771,                0.57043,                 1.0066,               0.008218,               0.008218,               0.008218
                     21,                0.83973,                0.60725,                 1.0331,                 1.0036,                0.69892,                 1.0446,                0.86232,                0.82966,                0.90375,                0.73349,                0.71396,                0.52114,                0.98716,                0.78773,                0.56917,                 1.0024,               0.008119,               0.008119,               0.008119
                     22,                0.83541,                0.60405,                 1.0301,                 1.0018,                0.69829,                 1.0406,                0.86564,                0.83392,                0.90527,                0.73419,                0.70998,                0.51412,                0.98677,                0.78431,                0.56194,                 1.0006,                0.00802,                0.00802,                0.00802
                     23,                0.82815,                0.59719,                  1.024,                0.99365,                0.68868,                 1.0346,                0.86147,                 0.8342,                0.90541,                0.73755,                0.70135,                 0.5088,                0.98143,                0.77585,                0.55793,                0.99483,               0.007921,               0.007921,               0.007921
                     24,                0.82972,                0.59737,                 1.0281,                0.99316,                 0.6893,                 1.0372,                0.86239,                0.83671,                0.90803,                0.74055,                0.69611,                0.50437,                0.97709,                0.76972,                0.55536,                0.99083,               0.007822,               0.007822,               0.007822
                     25,                0.82608,                0.59027,                 1.0257,                0.98973,                0.67969,                 1.0363,                0.86878,                0.83428,                0.90967,                0.74373,                0.69263,                0.49592,                0.97629,                0.76705,                0.54436,                0.99177,               0.007723,               0.007723,               0.007723
                     26,                0.82171,                0.58777,                 1.0245,                0.98151,                0.67262,                 1.0341,                0.87197,                0.83413,                0.91098,                0.74521,                0.69131,                0.49582,                0.97416,                0.76426,                  0.542,                0.98621,               0.007624,               0.007624,               0.007624
                     27,                0.81518,                0.58166,                 1.0191,                0.97621,                0.66995,                 1.0277,                0.87018,                0.83878,                0.91326,                0.74859,                0.68636,                0.49054,                0.97159,                0.76035,                0.53177,                0.98655,               0.007525,               0.007525,               0.007525
                     28,                0.80664,                0.57059,                 1.0152,                 0.9675,                0.65692,                 1.0254,                0.86776,                0.84758,                0.91466,                0.75151,                0.67991,                0.48447,                 0.9681,                 0.7521,                0.53186,                0.98071,               0.007426,               0.007426,               0.007426
                     29,                0.80547,                0.57484,                 1.0137,                0.96954,                0.66086,                 1.0261,                0.87527,                0.84574,                0.91702,                0.75391,                0.67911,                0.48179,                0.96813,                0.74925,                 0.5195,                0.98208,               0.007327,               0.007327,               0.007327
                     30,                0.80079,                0.56743,                 1.0121,                0.95753,                0.64824,                  1.021,                0.87702,                0.84674,                0.91766,                0.75516,                0.67594,                0.47892,                0.96577,                0.74464,                0.51399,                0.97748,               0.007228,               0.007228,               0.007228
                     31,                0.80217,                0.56254,                   1.01,                0.96525,                0.64459,                 1.0196,                 0.8769,                0.84694,                0.91789,                 0.7566,                0.67161,                0.47502,                0.96299,                0.74421,                0.51437,                0.97676,               0.007129,               0.007129,               0.007129
                     32,                0.79722,                0.56252,                  1.011,                0.95235,                0.64506,                 1.0227,                0.87934,                 0.8498,                0.91889,                0.75893,                0.66805,                0.47092,                0.96105,                0.73672,                0.50946,                0.97499,                0.00703,                0.00703,                0.00703
                     33,                0.79469,                0.55633,                  1.009,                 0.9553,                0.63442,                   1.02,                0.87858,                0.85347,                0.92015,                0.76107,                0.66543,                0.46637,                 0.9598,                0.73479,                0.50372,                0.97344,               0.006931,               0.006931,               0.006931
                     34,                0.79153,                0.55588,                 1.0079,                0.94941,                0.63328,                 1.0171,                0.87679,                0.85815,                0.92141,                0.76309,                0.66289,                0.46323,                0.95788,                 0.7328,                0.49292,                 0.9714,               0.006832,               0.006832,               0.006832
                     35,                0.78804,                   0.55,                 1.0035,                0.94593,                0.62861,                 1.0126,                0.88073,                0.85985,                0.92364,                0.76545,                0.66033,                0.46028,                0.95627,                0.72915,                0.49021,                 0.9685,               0.006733,               0.006733,               0.006733
                     36,                 0.7841,                0.54706,                 1.0038,                0.93924,                 0.6177,                 1.0124,                0.88562,                0.85609,                 0.9247,                0.76735,                0.65718,                0.45726,                0.95497,                0.72633,                0.48554,                0.96642,               0.006634,               0.006634,               0.006634
                     37,                0.78176,                0.54441,                 1.0035,                0.93752,                0.61688,                 1.0123,                0.88955,                0.85902,                0.92568,                0.76801,                  0.655,                0.45236,                0.95308,                0.72298,                0.47975,                0.96533,               0.006535,               0.006535,               0.006535
                     38,                0.78085,                0.54186,                 1.0024,                0.93748,                0.61527,                 1.0126,                0.88782,                0.86044,                0.92604,                0.76995,                0.65427,                0.45278,                0.95252,                0.72226,                0.47796,                0.96405,               0.006436,               0.006436,               0.006436
                     39,                0.77785,                0.54126,                0.99822,                0.93285,                0.61347,                 1.0082,                0.88887,                0.85927,                0.92668,                0.77167,                0.65125,                0.44953,                0.95046,                0.71912,                0.47507,                0.96288,               0.006337,               0.006337,               0.006337
                     40,                0.77599,                0.53758,                0.99737,                0.93159,                0.61437,                 1.0061,                0.88926,                0.86145,                0.92809,                 0.7737,                0.64809,                 0.4451,                0.94845,                 0.7142,                0.47217,                0.95977,               0.006238,               0.006238,               0.006238
                     41,                0.76747,                0.53005,                0.99526,                0.92167,                0.60409,                 1.0039,                0.89064,                0.86208,                0.92879,                0.77476,                0.64603,                0.44197,                0.94784,                0.71255,                0.46692,                0.95958,               0.006139,               0.006139,               0.006139
                     42,                0.76816,                0.53117,                0.99238,                0.92512,                0.60481,                 1.0012,                0.88748,                0.86994,                0.92985,                0.77617,                0.64409,                0.43846,                0.94683,                 0.7096,                0.46402,                0.95836,                0.00604,                0.00604,                0.00604
                     43,                0.76143,                0.52216,                0.99136,                0.91479,                 0.5898,                 1.0013,                0.89574,                0.86154,                0.93048,                0.77766,                0.64133,                0.43605,                0.94561,                  0.706,                0.45987,                0.95688,               0.005941,               0.005941,               0.005941
                     44,                0.76275,                0.52639,                0.99517,                0.91493,                0.59767,                 1.0047,                0.88986,                0.86855,                0.93113,                0.77879,                0.63884,                0.43382,                0.94428,                0.70338,                0.45746,                 0.9554,               0.005842,               0.005842,               0.005842
                     45,                0.75971,                0.52159,                0.99077,                0.91055,                0.59037,                0.99894,                0.89175,                0.87075,                0.93199,                0.77998,                0.63703,                0.43132,                0.94339,                0.70214,                0.45239,                0.95417,               0.005743,               0.005743,               0.005743
                     46,                0.75605,                0.51587,                0.98861,                0.90715,                0.57984,                0.99838,                0.88824,                0.87654,                0.93207,                0.78052,                0.63532,                0.42855,                0.94248,                0.69994,                 0.4521,                0.95418,               0.005644,               0.005644,               0.005644
                     47,                0.75295,                0.51417,                0.98781,                0.90598,                 0.5841,                0.99695,                 0.8938,                0.86866,                0.93234,                0.78142,                 0.6338,                0.42611,                 0.9415,                0.69761,                0.45215,                0.95277,               0.005545,               0.005545,               0.005545
                     48,                0.75621,                0.51539,                0.98763,                0.90735,                0.58568,                0.99616,                0.89493,                 0.8714,                0.93345,                0.78295,                0.63207,                 0.4245,                0.94055,                0.69447,                0.44945,                 0.9513,               0.005446,               0.005446,               0.005446
                     49,                0.75185,                0.51123,                0.98476,                0.90466,                0.57713,                0.99398,                0.89833,                0.87087,                0.93386,                0.78429,                0.63042,                0.42253,                0.93942,                0.69238,                 0.4461,                0.95021,               0.005347,               0.005347,               0.005347
                     50,                0.74956,                0.50827,                 0.9854,                0.90149,                0.57424,                0.99398,                 0.8963,                0.87211,                 0.9343,                 0.7848,                0.62875,                0.42134,                0.93879,                0.69222,                0.44396,                0.94943,               0.005248,               0.005248,               0.005248
                     51,                0.74457,                0.50722,                 0.9839,                0.89163,                 0.5732,                0.99309,                0.89516,                0.87517,                0.93462,                0.78562,                0.62781,                0.42046,                0.93808,                0.69075,                0.44212,                0.94819,               0.005149,               0.005149,               0.005149
                     52,                0.74112,                0.50204,                0.98014,                0.88901,                  0.562,                0.98837,                0.89678,                0.87583,                 0.9356,                0.78687,                0.62645,                 0.4186,                0.93738,                0.68877,                0.43991,                0.94746,                0.00505,                0.00505,                0.00505
                     53,                0.74029,                 0.4972,                0.97986,                0.88571,                0.56001,                0.98832,                0.89566,                 0.8786,                0.93637,                0.78772,                0.62574,                0.41684,                0.93685,                0.68818,                0.43536,                0.94719,               0.004951,               0.004951,               0.004951
                     54,                0.73607,                0.49597,                0.97654,                 0.8848,                0.55309,                0.98362,                0.90058,                0.87536,                0.93676,                0.78835,                0.62446,                0.41489,                0.93616,                0.68694,                0.43227,                0.94609,               0.004852,               0.004852,               0.004852
                     55,                0.73441,                0.49146,                0.97632,                 0.8822,                0.54587,                0.98486,                0.90059,                0.87705,                 0.9372,                0.78921,                0.62353,                0.41344,                0.93539,                0.68592,                0.43083,                0.94562,               0.004753,               0.004753,               0.004753
                     56,                0.73232,                 0.4916,                0.97441,                0.88215,                 0.5489,                0.98337,                0.90296,                0.87721,                 0.9379,                0.78993,                0.62252,                0.41189,                0.93451,                0.68471,                0.42831,                0.94465,               0.004654,               0.004654,               0.004654
