                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0523,                 2.7953,                 2.8871,                 2.7335,                 3.4377,                 2.6178,                0.44719,                0.40727,                0.36141,                0.19667,                 1.7288,                 1.5968,                 1.7804,                 1.6297,                 2.1332,                 1.6274,               0.070037,              0.0033292,              0.0033292
                      2,                 1.6201,                  1.349,                 1.5308,                 1.7045,                 1.7973,                  1.442,                0.61699,                0.57914,                0.61727,                0.39449,                  1.276,                 1.1637,                 1.3346,                 1.3567,                 1.5091,                 1.3177,               0.039993,              0.0066186,              0.0066186
                      3,                 1.3898,                  1.154,                 1.3155,                 1.5251,                 1.5161,                 1.2791,                0.67059,                0.64001,                0.69387,                0.47325,                 1.1553,                 1.0185,                 1.2286,                 1.2238,                 1.2414,                 1.2248,              0.0099052,              0.0098639,              0.0098639
                      4,                 1.2415,                 1.0183,                 1.2145,                 1.4045,                 1.2929,                 1.2033,                0.70396,                0.68371,                0.72566,                0.52513,                 1.0195,                 0.9702,                  1.134,                 1.1222,                  1.177,                 1.1493,               0.009802,               0.009802,               0.009802
                      5,                 1.1359,                0.91319,                 1.1582,                 1.3099,                 1.1398,                 1.1567,                0.74286,                0.72906,                0.78371,                0.58131,                0.92837,                0.82896,                 1.0827,                 1.0199,                0.96271,                 1.0961,               0.009802,               0.009802,               0.009802
                      6,                  1.074,                0.84494,                 1.1274,                 1.2513,                 1.0374,                  1.128,                 0.7719,                0.73825,                0.80629,                0.60452,                0.91978,                0.74991,                 1.0792,                 1.0127,                0.88446,                  1.097,               0.009736,               0.009736,               0.009736
                      7,                 1.0302,                0.80155,                 1.1049,                 1.2104,                0.97954,                   1.11,                 0.7771,                 0.7628,                0.82699,                0.62782,                0.87749,                0.70492,                 1.0605,                0.97282,                0.80602,                 1.0814,                0.00967,                0.00967,                0.00967
                      8,                0.99729,                0.76971,                 1.0896,                 1.1757,                0.93641,                 1.0973,                0.81007,                0.75874,                0.83891,                  0.641,                0.85789,                0.67669,                 1.0468,                0.94853,                0.77306,                 1.0681,               0.009604,               0.009604,               0.009604
                      9,                0.97703,                 0.7448,                  1.083,                 1.1533,                0.89904,                  1.093,                0.79837,                0.77219,                0.83713,                0.63894,                0.84088,                0.67262,                 1.0389,                0.94285,                0.77333,                 1.0633,               0.009538,               0.009538,               0.009538
                     10,                0.95879,                0.72338,                 1.0729,                 1.1388,                0.86323,                 1.0815,                0.81576,                0.76704,                0.84421,                0.65484,                0.81857,                0.64722,                  1.028,                0.91573,                0.74368,                 1.0493,               0.009472,               0.009472,               0.009472
                     11,                0.94095,                0.70605,                 1.0617,                 1.1178,                0.84656,                 1.0697,                0.81309,                0.78689,                0.85679,                0.66679,                0.80619,                0.62883,                 1.0193,                0.90595,                 0.7015,                 1.0424,               0.009406,               0.009406,               0.009406
                     12,                0.92583,                0.69058,                 1.0566,                 1.1001,                0.82543,                  1.065,                 0.8283,                0.77527,                 0.8591,                0.67104,                0.80487,                0.63102,                 1.0236,                0.89548,                0.71133,                 1.0398,                0.00934,                0.00934,                0.00934
                     13,                0.91008,                0.67924,                 1.0485,                 1.0863,                 0.8067,                 1.0592,                0.83091,                0.78556,                0.86717,                0.67856,                0.80101,                0.61238,                 1.0165,                0.89393,                0.68491,                 1.0397,               0.009274,               0.009274,               0.009274
                     14,                0.89764,                  0.665,                 1.0419,                 1.0724,                0.78453,                 1.0524,                0.82454,                0.79486,                0.86684,                0.68055,                 0.7796,                0.60251,                 1.0071,                0.86761,                0.68571,                 1.0243,               0.009208,               0.009208,               0.009208
                     15,                0.88859,                0.66111,                 1.0389,                 1.0606,                0.78178,                 1.0489,                0.83945,                0.79247,                0.87284,                0.68436,                0.78641,                0.59756,                 1.0076,                0.87547,                0.67278,                 1.0266,               0.009142,               0.009142,               0.009142
                     16,                0.88288,                0.65184,                  1.036,                 1.0567,                0.76961,                 1.0455,                0.83492,                 0.8023,                0.87832,                0.69571,                0.77543,                0.58532,                 1.0017,                0.86327,                0.63987,                 1.0187,               0.009076,               0.009076,               0.009076
                     17,                0.87819,                 0.6457,                 1.0307,                 1.0483,                0.75809,                 1.0402,                0.83544,                0.80431,                0.87907,                0.69805,                0.76371,                0.57896,                0.99669,                0.84854,                0.63802,                 1.0116,                0.00901,                0.00901,                0.00901
                     18,                0.86682,                0.64117,                 1.0318,                 1.0393,                0.74774,                   1.04,                0.82552,                0.82237,                 0.8845,                0.70053,                0.75631,                0.57027,                0.99401,                0.84674,                0.63074,                 1.0108,               0.008944,               0.008944,               0.008944
                     19,                0.86291,                0.63365,                 1.0284,                  1.034,                0.73859,                 1.0378,                0.83896,                0.81482,                0.88731,                0.70405,                0.76269,                0.58013,                0.99631,                 0.8476,                0.63713,                 1.0115,               0.008878,               0.008878,               0.008878
                     20,                0.85821,                0.62385,                 1.0239,                 1.0265,                0.72806,                 1.0324,                0.84956,                 0.8121,                0.89124,                0.71317,                0.74508,                 0.5534,                0.98684,                0.82686,                0.60022,                 1.0025,               0.008812,               0.008812,               0.008812
                     21,                0.85235,                0.61922,                 1.0211,                 1.0209,                0.72084,                   1.03,                 0.8433,                0.81532,                0.89086,                0.71525,                 0.7431,                0.55279,                0.98619,                0.82759,                0.60198,                 1.0028,               0.008746,               0.008746,               0.008746
                     22,                0.84464,                0.61186,                 1.0163,                 1.0109,                0.71133,                 1.0248,                 0.8458,                0.81522,                0.89153,                0.71222,                0.73945,                0.55044,                0.98348,                0.82181,                0.61357,                 1.0013,                0.00868,                0.00868,                0.00868
                     23,                  0.839,                0.60717,                  1.014,                 1.0031,                0.70681,                 1.0218,                0.84313,                0.83041,                0.89619,                0.72052,                0.73408,                0.54282,                0.97705,                0.81553,                0.59891,                0.99117,               0.008614,               0.008614,               0.008614
                     24,                0.83537,                0.59963,                  1.012,                 1.0019,                0.70066,                 1.0195,                0.84446,                0.83063,                0.89637,                0.72195,                 0.7298,                0.53422,                0.97714,                 0.8117,                0.58758,                0.99049,               0.008548,               0.008548,               0.008548
                     25,                0.82697,                 0.5943,                 1.0066,                0.99191,                0.68726,                 1.0156,                0.85869,                0.82018,                0.89785,                0.72185,                0.72899,                0.52603,                0.97405,                0.81423,                0.57418,                0.98821,               0.008482,               0.008482,               0.008482
                     26,                0.82429,                0.59148,                 1.0083,                 0.9927,                0.67502,                 1.0177,                 0.8515,                0.83216,                 0.9027,                0.72822,                0.71988,                0.52447,                0.97055,                0.80234,                   0.56,                 0.9864,               0.008416,               0.008416,               0.008416
                     27,                0.82081,                 0.5876,                 1.0045,                0.98284,                0.68097,                 1.0111,                0.85334,                0.83213,                0.90129,                0.73161,                0.71244,                0.51684,                0.96712,                  0.796,                0.56796,                0.98289,                0.00835,                0.00835,                0.00835
                     28,                0.81749,                0.58146,                 1.0028,                0.98328,                0.67362,                 1.0106,                0.85678,                0.83242,                0.90219,                0.73239,                0.71322,                0.51427,                0.96605,                 0.7917,                 0.5601,                0.97853,               0.008284,               0.008284,               0.008284
                     29,                0.80965,                 0.5789,                 1.0003,                0.97364,                0.66992,                 1.0073,                0.86057,                0.83757,                0.90763,                0.73584,                0.71212,                0.50681,                0.96584,                0.79288,                 0.5455,                0.97981,               0.008218,               0.008218,               0.008218
                     30,                0.81196,                0.57344,                0.99945,                 0.9739,                0.65768,                  1.007,                0.86555,                0.83485,                0.90732,                 0.7373,                0.70417,                 0.5062,                0.96223,                0.78481,                0.53494,                0.97655,               0.008152,               0.008152,               0.008152
                     31,                0.80676,                0.56855,                0.99689,                0.97445,                0.65567,                 1.0058,                0.85705,                  0.841,                0.90845,                0.73981,                0.70131,                0.49877,                 0.9604,                0.77937,                0.54105,                0.97276,               0.008086,               0.008086,               0.008086
                     32,                0.80233,                0.56571,                0.99631,                0.96277,                0.65311,                 1.0035,                0.87024,                0.83805,                0.90945,                0.74136,                0.69826,                0.50134,                0.95923,                0.77955,                0.53531,                0.97325,                0.00802,                0.00802,                0.00802
                     33,                 0.8036,                0.56379,                0.99578,                0.96226,                0.64256,                 1.0022,                0.87011,                0.84357,                0.91234,                0.74483,                 0.6933,                 0.4924,                0.95775,                0.77035,                0.53015,                0.96914,               0.007954,               0.007954,               0.007954
                     34,                 0.7967,                0.56045,                0.99113,                0.95949,                0.64799,                0.99967,                0.87181,                0.84164,                0.91186,                0.74503,                0.69134,                0.48703,                0.95436,                0.77101,                0.53081,                0.96701,               0.007888,               0.007888,               0.007888
                     35,                0.79162,                0.55285,                 0.9904,                0.95337,                0.63623,                0.99669,                0.85693,                0.85299,                0.91122,                0.74519,                0.69181,                 0.4962,                0.95612,                0.76822,                0.53485,                0.96785,               0.007822,               0.007822,               0.007822
                     36,                0.78782,                 0.5503,                0.99198,                0.94682,                 0.6342,                0.99994,                0.86878,                0.85048,                0.91569,                0.74885,                0.68749,                0.48306,                0.95446,                0.76476,                0.51696,                 0.9656,               0.007756,               0.007756,               0.007756
                     37,                0.78668,                0.54669,                0.98963,                 0.9484,                0.62366,                0.99755,                 0.8772,                0.84493,                0.91631,                0.74974,                0.68457,                0.47705,                0.95221,                0.76407,                0.51559,                0.96563,                0.00769,                0.00769,                0.00769
                     38,                0.78311,                0.54584,                0.98846,                0.94617,                0.62217,                0.99718,                0.87377,                0.85187,                 0.9189,                 0.7543,                0.68158,                0.47549,                0.94963,                0.75964,                0.50417,                0.96318,               0.007624,               0.007624,               0.007624
                     39,                0.77994,                0.53911,                 0.9822,                0.93853,                0.61494,                 0.9882,                0.87525,                0.85711,                0.92183,                0.75779,                0.67636,                0.46658,                0.94779,                0.74976,                0.49234,                0.95851,               0.007558,               0.007558,               0.007558
                     40,                0.77995,                0.53876,                0.98489,                0.94133,                0.62182,                0.99063,                0.86994,                0.85825,                0.92089,                0.75746,                0.67406,                0.46988,                0.94696,                0.74717,                0.50209,                0.95669,               0.007492,               0.007492,               0.007492
