                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2469,                 3.0027,                 2.9051,                 2.9301,                 3.8502,                 2.6438,                0.44636,                 0.4119,                 0.3739,                0.20325,                 1.7804,                 1.6439,                 1.7925,                 1.6806,                 2.2326,                 1.6238,               0.070037,              0.0033292,              0.0033292
                      2,                 1.6075,                 1.3307,                 1.5027,                 1.6965,                 1.7851,                 1.4173,                   0.64,                0.56598,                0.61914,                0.40558,                 1.2991,                 1.1652,                 1.3512,                 1.3316,                 1.4811,                  1.321,               0.039993,              0.0066186,              0.0066186
                      3,                 1.3477,                 1.1103,                 1.2925,                 1.4911,                 1.4533,                 1.2591,                0.68064,                0.67455,                0.71336,                0.49125,                 1.1066,                 1.0302,                 1.2037,                  1.182,                  1.263,                 1.1981,              0.0099052,              0.0098639,              0.0098639
                      4,                 1.2044,                0.97426,                 1.2075,                  1.368,                 1.2594,                 1.1911,                0.73742,                0.69931,                0.77133,                 0.5654,                0.98836,                0.84833,                 1.1305,                 1.0562,                  1.129,                 1.1332,               0.009802,               0.009802,               0.009802
                      5,                 1.1151,                0.88154,                 1.1589,                 1.2868,                 1.1254,                 1.1553,                0.74504,                0.72677,                0.79234,                0.59266,                 0.9166,                0.78055,                 1.0932,                 1.0079,                0.94742,                 1.1114,               0.009802,               0.009802,               0.009802
                      6,                 1.0619,                0.81801,                 1.1324,                 1.2389,                 1.0269,                 1.1345,                0.78979,                0.73121,                0.81366,                0.60946,                0.91266,                 0.7309,                 1.0847,                 1.0075,                 0.8728,                 1.1063,               0.009736,               0.009736,               0.009736
                      7,                 1.0209,                0.78222,                 1.1101,                 1.2006,                0.98269,                 1.1131,                0.78911,                0.75209,                0.83105,                0.63236,                0.86185,                0.69206,                 1.0631,                0.96636,                0.80492,                 1.0859,                0.00967,                0.00967,                0.00967
                      8,                0.99022,                0.75575,                 1.0952,                 1.1719,                0.93611,                 1.1016,                0.79837,                0.75249,                0.83097,                0.63388,                 0.8518,                 0.6805,                 1.0537,                0.94906,                0.78932,                 1.0768,               0.009604,               0.009604,               0.009604
                      9,                0.97062,                0.73832,                  1.089,                 1.1501,                0.90275,                 1.0964,                0.80634,                0.75488,                0.83844,                0.64747,                0.83566,                0.65429,                 1.0469,                 0.9409,                0.76726,                 1.0699,               0.009538,               0.009538,               0.009538
                     10,                0.95206,                0.71353,                 1.0784,                 1.1336,                0.87066,                 1.0861,                0.80949,                0.77408,                0.85222,                0.66232,                0.82279,                0.63825,                  1.036,                 0.9211,                0.72744,                 1.0603,               0.009472,               0.009472,               0.009472
                     11,                0.93405,                0.69792,                 1.0671,                 1.1137,                0.84818,                  1.076,                0.81853,                0.77555,                0.85744,                0.66774,                0.80126,                0.62769,                 1.0259,                0.90428,                0.72099,                 1.0536,               0.009406,               0.009406,               0.009406
