                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1839,                 2.9293,                 3.0761,                 2.8668,                 3.6769,                 2.8696,                0.45916,                0.40691,                0.38007,                0.19302,                 1.8173,                 1.6608,                 1.8544,                 1.7346,                 2.1963,                 1.7181,               0.070037,              0.0033292,              0.0033292
                      2,                 1.6465,                 1.3442,                 1.5564,                 1.7509,                 1.7729,                 1.4784,                0.63052,                0.57271,                0.61827,                 0.3939,                 1.3309,                 1.1646,                 1.3744,                 1.3714,                 1.4875,                 1.3581,               0.039993,              0.0066186,              0.0066186
                      3,                 1.3916,                 1.1408,                 1.3255,                 1.5419,                 1.4911,                 1.2971,                0.67538,                0.67205,                0.71297,                0.47752,                  1.158,                 1.0182,                 1.2204,                 1.2498,                 1.2709,                 1.2328,              0.0099052,              0.0098639,              0.0098639
                      4,                 1.2322,                 1.0026,                 1.2205,                 1.4036,                 1.2738,                 1.2109,                0.72588,                0.68264,                0.74569,                0.53982,                  1.004,                0.95619,                 1.1384,                 1.0922,                 1.1553,                 1.1433,               0.009802,               0.009802,               0.009802
                      5,                 1.1316,                0.89343,                 1.1663,                 1.3095,                 1.1107,                 1.1642,                0.75571,                0.73321,                0.79759,                0.59195,                0.93155,                0.82836,                 1.0973,                  1.028,                0.98799,                 1.1153,               0.009802,               0.009802,               0.009802
                      6,                 1.0696,                0.82656,                 1.1346,                 1.2594,                  1.014,                 1.1387,                 0.7885,                0.73357,                0.81297,                0.60165,                0.92898,                0.74183,                 1.0924,                 1.0314,                0.87506,                 1.1149,               0.009736,               0.009736,               0.009736
                      7,                 1.0281,                0.79134,                 1.1141,                  1.215,                0.96338,                 1.1188,                0.80498,                0.75603,                0.83615,                0.63521,                0.88124,                0.70826,                 1.0731,                0.97291,                0.80095,                 1.0897,                0.00967,                0.00967,                0.00967
                      8,                0.99876,                0.76033,                 1.0994,                 1.1841,                0.92252,                 1.1076,                0.80638,                0.75724,                 0.8325,                 0.6361,                0.85767,                0.67837,                 1.0551,                0.94966,                0.78222,                 1.0767,               0.009604,               0.009604,               0.009604
                      9,                0.97542,                0.74029,                 1.0906,                 1.1606,                0.89067,                  1.102,                0.80935,                0.76339,                0.84603,                0.64953,                0.84438,                0.66516,                 1.0524,                0.94438,                0.78372,                 1.0775,               0.009538,               0.009538,               0.009538
                     10,                0.95994,                0.71784,                 1.0824,                 1.1435,                0.85884,                 1.0914,                0.82769,                0.77339,                0.85675,                0.66017,                0.83313,                0.63877,                 1.0435,                0.92865,                0.71584,                 1.0651,               0.009472,               0.009472,               0.009472
                     11,                0.93933,                0.70647,                 1.0704,                 1.1229,                0.84778,                   1.08,                0.81688,                0.77634,                0.85693,                  0.668,                0.81114,                0.63765,                 1.0333,                0.90334,                0.72908,                 1.0576,               0.009406,               0.009406,               0.009406
                     12,                0.92583,                0.68834,                 1.0646,                 1.1068,                0.82451,                 1.0757,                0.81928,                 0.7902,                0.86392,                0.67398,                0.80216,                0.61794,                 1.0265,                0.89273,                0.70275,                 1.0486,                0.00934,                0.00934,                0.00934
                     13,                 0.9115,                0.67739,                 1.0574,                 1.0902,                0.80491,                 1.0697,                 0.8126,                0.79129,                0.86134,                0.67616,                0.79941,                0.61649,                 1.0208,                0.89344,                0.69603,                 1.0432,               0.009274,               0.009274,               0.009274
                     14,                0.89813,                0.66151,                 1.0496,                 1.0732,                0.78203,                 1.0601,                0.83477,                0.79245,                0.87257,                0.68487,                0.79042,                 0.5992,                  1.018,                0.87922,                0.68138,                 1.0381,               0.009208,               0.009208,               0.009208
                     15,                 0.8898,                0.65791,                 1.0482,                 1.0636,                0.77785,                 1.0588,                 0.8124,                0.80352,                0.86869,                0.68483,                0.78646,                0.60758,                 1.0184,                0.87523,                0.69035,                 1.0374,               0.009142,               0.009142,               0.009142
                     16,                0.88283,                0.65152,                 1.0452,                 1.0594,                0.76799,                 1.0547,                0.82123,                 0.8033,                0.86818,                0.68559,                0.78041,                0.61194,                 1.0129,                0.87076,                0.70538,                 1.0325,               0.009076,               0.009076,               0.009076
                     17,                0.87881,                0.64482,                 1.0397,                 1.0534,                0.75829,                 1.0484,                0.83384,                0.80037,                0.87835,                0.69748,                0.77426,                0.57738,                 1.0062,                 0.8583,                0.64314,                 1.0243,                0.00901,                0.00901,                0.00901
                     18,                0.86643,                0.63759,                  1.039,                 1.0401,                0.74987,                 1.0489,                0.83355,                0.81282,                0.88703,                0.70094,                0.75951,                0.56519,                 1.0052,                 0.8459,                0.63305,                  1.022,               0.008944,               0.008944,               0.008944
                     19,                0.86144,                0.63134,                 1.0347,                 1.0346,                0.74036,                 1.0462,                0.83027,                0.81546,                 0.8829,                0.70191,                0.76035,                0.57411,                 1.0032,                0.84478,                0.65379,                 1.0209,               0.008878,               0.008878,               0.008878
                     20,                0.85863,                0.62426,                 1.0311,                 1.0308,                0.73743,                 1.0423,                0.83794,                0.82511,                0.89007,                0.70972,                0.74768,                0.55907,                0.99537,                0.83621,                 0.6175,                  1.014,               0.008812,               0.008812,               0.008812
                     21,                0.85209,                0.61636,                 1.0291,                 1.0228,                 0.7243,                 1.0387,                0.83938,                0.81448,                0.88838,                0.71186,                 0.7445,                0.55431,                0.99648,                0.83132,                0.60962,                 1.0137,               0.008746,               0.008746,               0.008746
                     22,                0.84326,                0.61154,                 1.0227,                  1.011,                0.71573,                 1.0318,                0.85046,                0.81679,                0.89242,                0.71526,                0.73718,                0.56378,                0.99147,                  0.818,                0.61643,                  1.008,                0.00868,                0.00868,                0.00868
