                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0285,                 2.7373,                 2.7914,                  2.751,                 3.4614,                  2.537,                 0.4786,                0.46742,                0.45362,                0.25894,                 1.6202,                 1.5253,                 1.7016,                 1.6193,                 2.0842,                 1.5954,               0.070039,               0.003329,               0.003329
                      2,                 1.6252,                 1.3326,                 1.5365,                 1.7311,                 1.7775,                 1.4559,                0.62816,                 0.5908,                 0.6264,                0.40741,                 1.3272,                  1.133,                  1.365,                 1.3381,                 1.4994,                 1.3309,               0.039995,              0.0066184,              0.0066184
                      3,                 1.3934,                 1.1551,                 1.3377,                 1.5242,                 1.5211,                 1.2954,                0.66925,                0.64793,                0.69007,                0.46601,                  1.182,                 1.0457,                 1.2577,                 1.2363,                 1.2696,                 1.2521,               0.009907,              0.0098637,              0.0098637
                      4,                 1.2308,                 1.0136,                 1.2271,                 1.3847,                 1.3029,                 1.2079,                0.71388,                0.69258,                 0.7454,                0.53516,                 1.0158,                0.90503,                 1.1563,                 1.1017,                 1.0921,                 1.1589,               0.009802,               0.009802,               0.009802
                      5,                 1.1372,                0.91156,                 1.1805,                 1.3044,                 1.1564,                 1.1713,                0.74593,                 0.7154,                0.78973,                0.57724,                0.96573,                0.79638,                 1.1218,                 1.0557,                0.95786,                 1.1365,               0.009802,               0.009802,               0.009802
                      6,                 1.0795,                0.84942,                 1.1491,                 1.2557,                 1.0603,                 1.1462,                0.77677,                  0.724,                0.80381,                0.60294,                0.91397,                 0.7538,                 1.0972,                 1.0142,                0.90707,                 1.1175,               0.009736,               0.009736,               0.009736
                      7,                 1.0298,                0.80064,                 1.1202,                 1.2097,                0.98913,                  1.122,                0.79971,                0.72463,                0.81535,                0.61726,                0.88591,                0.72153,                 1.0844,                0.98161,                0.88176,                 1.1061,                0.00967,                0.00967,                0.00967
                      8,                0.99803,                 0.7693,                 1.1062,                 1.1818,                0.95507,                 1.1125,                0.79678,                0.75374,                0.82948,                0.63564,                0.85033,                0.69409,                 1.0626,                0.94739,                0.82293,                  1.083,               0.009604,               0.009604,               0.009604
                      9,                0.97721,                0.74333,                 1.0989,                 1.1552,                0.90854,                 1.1027,                0.81426,                0.76038,                0.84552,                0.65319,                0.84225,                0.67687,                 1.0579,                0.93164,                0.75604,                 1.0808,               0.009538,               0.009538,               0.009538
                     10,                0.95755,                 0.7246,                 1.0861,                 1.1386,                0.88431,                  1.093,                0.81772,                 0.7709,                0.85295,                0.65927,                0.83241,                0.65025,                 1.0519,                0.92181,                0.72834,                 1.0674,               0.009472,               0.009472,               0.009472
