                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0285,                 2.7373,                 2.7914,                  2.751,                 3.4614,                  2.537,                 0.4786,                0.46742,                0.45362,                0.25894,                 1.6202,                 1.5253,                 1.7016,                 1.6193,                 2.0842,                 1.5954,               0.070039,               0.003329,               0.003329
                      2,                 1.6304,                 1.3405,                 1.5426,                 1.7349,                 1.7862,                 1.4588,                0.63531,                0.57871,                0.61014,                0.40008,                 1.3036,                  1.131,                 1.3748,                  1.357,                 1.4689,                 1.3574,               0.039995,              0.0066184,              0.0066184
                      3,                 1.3918,                 1.1504,                   1.34,                 1.5241,                 1.5242,                 1.3019,                0.65979,                0.60875,                0.65653,                 0.4236,                 1.2532,                 1.1682,                  1.313,                 1.3159,                 1.3727,                 1.2967,               0.009907,              0.0098637,              0.0098637
                      4,                 1.2387,                 1.0229,                 1.2368,                 1.3935,                 1.3098,                 1.2169,                0.70887,                0.68967,                0.74414,                0.53612,                 1.0114,                0.98044,                 1.1614,                 1.1068,                 1.2165,                 1.1723,               0.009802,               0.009802,               0.009802
                      5,                 1.1336,                 0.9053,                 1.1712,                 1.3045,                 1.1431,                 1.1659,                0.74321,                0.71511,                0.77809,                0.57246,                0.94044,                0.86451,                 1.1089,                  1.031,                 1.1079,                  1.126,               0.009802,               0.009802,               0.009802
                      6,                 1.0731,                0.84393,                 1.1468,                 1.2487,                 1.0531,                 1.1454,                 0.7664,                0.73307,                0.80198,                0.59542,                0.90064,                0.75766,                 1.0895,                  1.003,                0.91463,                 1.1082,               0.009736,               0.009736,               0.009736
                      7,                  1.035,                0.80271,                  1.125,                 1.2167,                0.99365,                 1.1277,                0.80213,                  0.742,                0.82522,                0.62826,                0.87473,                0.70878,                 1.0727,                 0.9792,                0.83805,                 1.0897,                0.00967,                0.00967,                0.00967
                      8,                0.99566,                0.76389,                 1.1032,                 1.1788,                0.93274,                 1.1075,                0.81113,                0.75997,                0.84208,                0.64299,                0.85521,                0.67481,                 1.0611,                0.95715,                0.77482,                 1.0836,               0.009604,               0.009604,               0.009604
                      9,                0.97415,                0.74392,                 1.0945,                 1.1616,                0.91368,                 1.1037,                 0.8073,                 0.7599,                0.84039,                  0.647,                0.84324,                 0.6741,                 1.0561,                0.93882,                0.80136,                 1.0747,               0.009538,               0.009538,               0.009538
                     10,                0.95762,                0.72309,                 1.0884,                 1.1381,                 0.8683,                 1.0939,                0.81517,                0.77225,                0.85357,                0.66109,                0.82699,                0.64898,                  1.048,                 0.9259,                0.73686,                 1.0682,               0.009472,               0.009472,               0.009472
                     11,                0.94044,                0.70689,                 1.0789,                 1.1271,                0.85025,                 1.0869,                0.80946,                0.79436,                0.85465,                0.66583,                0.81624,                0.62719,                 1.0431,                0.91264,                0.70951,                 1.0636,               0.009406,               0.009406,               0.009406
                     12,                0.92264,                0.69141,                 1.0722,                 1.1045,                0.82698,                 1.0793,                 0.8367,                0.78406,                0.86615,                0.67597,                 0.8104,                0.61454,                 1.0407,                0.90451,                0.68658,                 1.0599,                0.00934,                0.00934,                0.00934
                     13,                0.91668,                0.67334,                 1.0687,                 1.0971,                0.80123,                 1.0766,                0.81805,                0.79072,                0.86237,                0.67593,                0.80761,                0.61037,                 1.0372,                0.89986,                0.69117,                  1.056,               0.009274,               0.009274,               0.009274
                     14,                0.90336,                0.66896,                 1.0637,                 1.0845,                0.79507,                 1.0723,                0.82715,                0.80037,                 0.8687,                0.68083,                0.79474,                0.60566,                 1.0276,                 0.8921,                0.67045,                 1.0473,               0.009208,               0.009208,               0.009208
                     15,                0.88707,                0.65118,                 1.0495,                 1.0651,                0.77408,                 1.0566,                0.83219,                0.80681,                0.87903,                0.69395,                0.77679,                0.58029,                 1.0198,                0.86905,                0.64798,                 1.0376,               0.009142,               0.009142,               0.009142
                     16,                0.88021,                0.64083,                 1.0492,                 1.0537,                 0.7541,                  1.056,                0.83446,                0.80836,                  0.881,                0.69891,                 0.7668,                0.57938,                 1.0157,                0.85239,                0.64022,                 1.0313,               0.009076,               0.009076,               0.009076
                     17,                0.87417,                 0.6362,                 1.0482,                 1.0493,                0.74846,                 1.0546,                 0.8331,                 0.8081,                0.88101,                0.69801,                 0.7685,                0.57371,                 1.0166,                0.85985,                0.63486,                 1.0356,                0.00901,                0.00901,                0.00901
                     18,                0.86557,                0.62974,                 1.0428,                 1.0407,                0.73739,                 1.0493,                0.85081,                0.80521,                0.88567,                0.70597,                0.75996,                0.56295,                 1.0077,                0.84957,                0.61603,                 1.0244,               0.008944,               0.008944,               0.008944
                     19,                 0.8555,                0.62083,                 1.0395,                 1.0264,                0.72543,                 1.0471,                0.85041,                 0.8112,                0.89052,                0.71142,                0.74987,                0.55041,                  1.006,                0.84404,                0.59885,                 1.0277,               0.008878,               0.008878,               0.008878
                     20,                0.85178,                0.61084,                 1.0371,                 1.0258,                0.71415,                 1.0459,                0.83851,                0.81539,                0.88698,                0.70937,                0.75246,                0.56296,                 1.0064,                0.84222,                0.62277,                 1.0265,               0.008812,               0.008812,               0.008812
                     21,                0.84814,                0.60701,                 1.0324,                 1.0186,                 0.7018,                 1.0409,                0.84936,                0.82462,                0.89781,                0.72015,                0.73973,                0.53821,                0.99856,                0.82451,                0.57511,                 1.0151,               0.008746,               0.008746,               0.008746
                     22,                0.83924,                0.60157,                 1.0287,                 1.0116,                0.70251,                  1.038,                0.85966,                0.82323,                0.90011,                0.72318,                0.73421,                0.53559,                0.99583,                0.82104,                0.57907,                 1.0138,                0.00868,                0.00868,                0.00868
                     23,                 0.8358,                0.59825,                 1.0305,                 1.0067,                0.70311,                 1.0387,                0.85952,                0.81571,                0.89831,                0.72499,                0.73183,                0.53635,                0.99602,                0.81149,                 0.6038,                 1.0107,               0.008614,               0.008614,               0.008614
