                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0734,                 2.7821,                 2.8987,                 2.7898,                  3.572,                 2.6982,                0.49707,                0.45683,                 0.4551,                0.25002,                 1.7004,                 1.4765,                 1.7437,                 1.5886,                 1.9829,                 1.6189,               0.070039,               0.003329,               0.003329
                      2,                  1.612,                 1.3067,                  1.524,                 1.7108,                 1.7577,                 1.4503,                 0.6185,                0.59974,                0.61782,                0.40053,                 1.2727,                 1.2396,                 1.3572,                  1.315,                 1.7973,                  1.325,               0.039973,              0.0065964,              0.0065964
                      3,                  1.377,                 1.1243,                 1.3308,                 1.5201,                 1.4745,                 1.3013,                0.67175,                0.64852,                0.69171,                0.46579,                 1.0972,                 1.1213,                 1.2253,                 1.2005,                 1.4354,                 1.2432,               0.009841,              0.0097978,              0.0097978
                      4,                 1.2167,                0.98353,                 1.2213,                 1.3822,                 1.2559,                 1.2115,                 0.7373,                0.68801,                0.75797,                0.55009,                0.99157,                0.85078,                 1.1459,                 1.0743,                 1.0624,                 1.1597,               0.009703,               0.009703,               0.009703
                      5,                 1.1202,                0.89347,                 1.1744,                 1.2953,                 1.1165,                 1.1698,                0.76948,                0.72162,                0.79746,                0.58758,                 0.9398,                0.80456,                 1.1107,                 1.0283,                  0.975,                 1.1223,               0.009703,               0.009703,               0.009703
                      6,                 1.0655,                0.82853,                 1.1439,                 1.2449,                 1.0313,                 1.1438,                0.77988,                0.72804,                 0.8002,                0.60766,                0.90403,                0.73487,                 1.0931,                 0.9979,                0.90245,                 1.1112,               0.009604,               0.009604,               0.009604
                      7,                 1.0234,                 0.7868,                 1.1186,                 1.2073,                0.96404,                 1.1245,                0.80581,                0.75295,                0.83349,                0.62897,                0.87812,                0.68816,                 1.0785,                0.98318,                0.79046,                 1.1043,               0.009505,               0.009505,               0.009505
                      8,                0.98991,                0.75556,                 1.1031,                 1.1766,                0.92143,                 1.1118,                   0.81,                0.76146,                0.83874,                0.63564,                0.86986,                 0.6933,                 1.0723,                0.96277,                0.79606,                 1.0944,               0.009406,               0.009406,               0.009406
                      9,                0.96815,                0.73469,                 1.0961,                 1.1516,                0.88323,                 1.1043,                 0.8052,                0.76146,                0.83995,                0.64335,                0.85645,                0.68498,                 1.0609,                0.95858,                0.80614,                 1.0844,               0.009307,               0.009307,               0.009307
                     10,                0.95157,                0.71639,                 1.0861,                 1.1365,                0.86374,                 1.0947,                0.81694,                 0.7814,                0.85481,                0.66083,                0.84055,                0.63523,                 1.0541,                0.93572,                0.71951,                  1.076,               0.009208,               0.009208,               0.009208
                     11,                 0.9332,                 0.7012,                 1.0769,                 1.1146,                0.83667,                 1.0842,                0.83085,                0.79007,                0.86539,                0.67152,                0.82018,                0.62088,                 1.0413,                0.92265,                0.69272,                 1.0667,               0.009109,               0.009109,               0.009109
                     12,                0.92409,                0.68152,                 1.0728,                 1.1041,                0.80803,                 1.0813,                0.82902,                0.78483,                0.86238,                 0.6702,                0.81487,                0.62819,                 1.0382,                0.90179,                0.72085,                 1.0547,                0.00901,                0.00901,                0.00901
                     13,                0.91199,                0.67399,                 1.0684,                  1.089,                0.80182,                 1.0752,                0.83222,                0.80051,                0.87407,                 0.6856,                0.79483,                0.59868,                 1.0268,                0.89225,                 0.6619,                 1.0499,               0.008911,               0.008911,               0.008911
