                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1188,                 2.8365,                  2.936,                 2.7784,                  3.472,                 2.6481,                0.45814,                0.40113,                0.37744,                0.20105,                 1.7965,                 1.6129,                 1.8315,                 1.6759,                  2.155,                 1.6841,               0.070039,               0.003329,               0.003329
                      2,                 1.6542,                 1.3654,                  1.587,                 1.7241,                 1.8422,                 1.4782,                0.60984,                0.55318,                0.58451,                0.36539,                 1.3719,                  1.298,                 1.4412,                 1.3713,                 1.6896,                 1.3949,               0.039973,              0.0065964,              0.0065964
                      3,                 1.3951,                 1.1595,                 1.3541,                 1.5326,                 1.5269,                 1.3159,                0.69268,                0.64743,                0.70278,                0.47403,                 1.1739,                 1.0343,                 1.2716,                 1.2516,                 1.2306,                 1.2781,               0.009841,              0.0097978,              0.0097978
                      4,                  1.239,                 1.0118,                 1.2399,                 1.4022,                 1.2855,                 1.2262,                0.73508,                0.69215,                0.75782,                0.54719,                 1.0274,                0.89408,                 1.1735,                 1.1128,                 1.0357,                 1.1811,               0.009703,               0.009703,               0.009703
                      5,                 1.1408,                0.91199,                 1.1909,                 1.3126,                 1.1416,                  1.186,                0.73997,                0.71872,                0.77813,                0.56846,                0.95875,                0.83632,                 1.1381,                 1.0523,                 1.0409,                 1.1665,               0.009703,               0.009703,               0.009703
                      6,                 1.0815,                0.84187,                 1.1579,                 1.2607,                 1.0587,                 1.1562,                 0.7577,                0.71351,                 0.7727,                0.58325,                0.91187,                 0.7753,                 1.1073,                 1.0013,                0.96404,                  1.124,               0.009604,               0.009604,               0.009604
                      1,                 3.1188,                 2.8365,                  2.936,                 2.7784,                  3.472,                 2.6481,                0.45814,                0.40113,                0.37744,                0.20105,                 1.7965,                 1.6129,                 1.8315,                 1.6759,                  2.155,                 1.6841,               0.070039,               0.003329,               0.003329
                      2,                 1.6542,                 1.3654,                  1.587,                 1.7241,                 1.8422,                 1.4782,                0.60984,                0.55318,                0.58451,                0.36539,                 1.3719,                  1.298,                 1.4412,                 1.3713,                 1.6896,                 1.3949,               0.039973,              0.0065964,              0.0065964
                      3,                 1.3951,                 1.1595,                 1.3541,                 1.5326,                 1.5269,                 1.3159,                0.69268,                0.64743,                0.70278,                0.47403,                 1.1739,                 1.0343,                 1.2716,                 1.2516,                 1.2306,                 1.2781,               0.009841,              0.0097978,              0.0097978
                      4,                  1.239,                 1.0118,                 1.2399,                 1.4022,                 1.2855,                 1.2262,                0.73508,                0.69215,                0.75782,                0.54719,                 1.0274,                0.89408,                 1.1735,                 1.1128,                 1.0357,                 1.1811,               0.009703,               0.009703,               0.009703
                      5,                 1.1408,                0.91199,                 1.1909,                 1.3126,                 1.1416,                  1.186,                0.73997,                0.71872,                0.77813,                0.56846,                0.95875,                0.83632,                 1.1381,                 1.0523,                 1.0409,                 1.1665,               0.009703,               0.009703,               0.009703
                      6,                 1.0815,                0.84187,                 1.1579,                 1.2607,                 1.0587,                 1.1562,                 0.7577,                0.71351,                 0.7727,                0.58325,                0.91187,                 0.7753,                 1.1073,                 1.0013,                0.96404,                  1.124,               0.009604,               0.009604,               0.009604
