                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2117,                 2.8767,                 2.8986,                 2.8885,                 3.6976,                 2.6489,                0.47787,                0.44639,                0.42303,                0.24048,                 1.6864,                 1.4807,                 1.7659,                 1.6068,                  2.014,                 1.6181,               0.070039,               0.003329,               0.003329
                      2,                 1.6296,                 1.3148,                 1.5346,                 1.7266,                  1.764,                 1.4506,                0.62983,                0.59402,                0.62612,                0.40671,                 1.2826,                  1.137,                 1.3516,                 1.3383,                 1.4652,                 1.3412,               0.039973,              0.0065964,              0.0065964
                      3,                 1.3775,                 1.1185,                 1.3258,                 1.5193,                 1.4709,                 1.2913,                0.69522,                 0.6408,                0.70359,                0.48057,                 1.1166,                0.97115,                 1.2218,                 1.1884,                 1.2089,                 1.2286,               0.009841,              0.0097978,              0.0097978
                      4,                 1.2254,                   0.98,                 1.2208,                 1.3874,                 1.2542,                 1.2059,                0.73716,                0.70351,                0.76973,                 0.5553,                 0.9782,                0.84693,                  1.134,                 1.0757,                 1.0234,                 1.1439,               0.009703,               0.009703,               0.009703
                      5,                 1.1258,                0.88731,                 1.1722,                 1.2988,                 1.1126,                 1.1662,                0.76737,                0.72727,                0.80132,                0.59665,                0.92968,                0.77688,                 1.1055,                 1.0304,                0.92959,                 1.1304,               0.009703,               0.009703,               0.009703
                      6,                 1.0733,                0.82936,                 1.1433,                 1.2569,                 1.0218,                 1.1447,                0.79645,                0.72978,                0.81304,                0.61604,                0.90115,                0.74495,                 1.0892,                 1.0103,                0.88393,                 1.1095,               0.009604,               0.009604,               0.009604
                      7,                  1.024,                0.78412,                 1.1164,                 1.2102,                0.95484,                 1.1213,                0.79414,                0.76368,                0.83567,                0.63112,                0.88221,                0.69661,                 1.0794,                0.98287,                0.79576,                 1.1014,               0.009505,               0.009505,               0.009505
                      8,                  0.992,                0.75313,                 1.1012,                 1.1794,                0.91395,                 1.1104,                0.80161,                0.77454,                0.84573,                0.64499,                0.86572,                0.68338,                 1.0639,                0.96249,                0.78908,                 1.0853,               0.009406,               0.009406,               0.009406
                      9,                0.96736,                0.73107,                 1.0926,                  1.152,                 0.8865,                  1.102,                0.81902,                0.77137,                 0.8535,                0.65734,                0.84501,                0.65577,                 1.0523,                0.94373,                0.77444,                 1.0787,               0.009307,               0.009307,               0.009307
                     10,                0.95206,                0.71501,                 1.0821,                 1.1391,                0.86275,                 1.0927,                0.82331,                 0.7777,                0.85754,                0.66393,                0.84389,                 0.6485,                 1.0518,                0.93274,                0.72302,                 1.0738,               0.009208,               0.009208,               0.009208
                     11,                0.93557,                0.69792,                 1.0746,                 1.1192,                0.83394,                 1.0843,                0.82511,                0.78764,                0.85489,                0.66061,                0.81618,                0.62254,                 1.0391,                 0.9188,                0.72369,                 1.0647,               0.009109,               0.009109,               0.009109
                     12,                0.92215,                0.68041,                 1.0681,                 1.1025,                0.81323,                 1.0791,                0.82817,                0.79288,                 0.8677,                0.67601,                0.81168,                0.63067,                 1.0356,                0.90735,                0.72347,                 1.0575,                0.00901,                0.00901,                0.00901
                     13,                0.91039,                  0.674,                 1.0638,                 1.0907,                 0.8007,                 1.0734,                0.81264,                0.80352,                0.85371,                0.66821,                0.79597,                0.60332,                 1.0269,                0.89563,                0.70406,                 1.0492,               0.008911,               0.008911,               0.008911
                     14,                0.89453,                0.65499,                 1.0505,                 1.0754,                0.77128,                 1.0624,                0.83784,                0.80137,                0.87438,                0.68562,                0.78927,                0.59506,                 1.0239,                0.89208,                0.68226,                 1.0501,               0.008812,               0.008812,               0.008812
                     15,                0.88743,                0.64948,                 1.0496,                  1.064,                0.76413,                 1.0608,                0.83564,                0.80951,                0.87782,                0.69382,                0.77573,                0.58313,                 1.0147,                0.86213,                 0.6511,                 1.0344,               0.008713,               0.008713,               0.008713
                     16,                0.87711,                0.64267,                 1.0469,                 1.0544,                0.75655,                 1.0564,                 0.8214,                0.81461,                0.87802,                0.69706,                0.76772,                0.58435,                 1.0145,                0.86321,                0.65581,                 1.0331,               0.008614,               0.008614,               0.008614
                     17,                0.86998,                0.63574,                 1.0424,                  1.047,                0.74366,                 1.0517,                0.85189,                0.80183,                 0.8839,                0.70236,                 0.7644,                0.56342,                 1.0094,                0.85487,                0.62069,                 1.0286,               0.008515,               0.008515,               0.008515
                     18,                0.85929,                0.62791,                 1.0378,                 1.0317,                0.73484,                 1.0488,                0.84215,                0.81358,                0.88354,                 0.7051,                0.75643,                0.55876,                 1.0066,                0.84748,                0.62609,                 1.0266,               0.008416,               0.008416,               0.008416
                     19,                0.85336,                 0.6181,                 1.0352,                 1.0258,                 0.7223,                 1.0441,                0.84305,                0.80316,                0.88207,                0.70142,                0.75808,                 0.5712,                 1.0059,                0.84783,                0.63376,                 1.0249,               0.008317,               0.008317,               0.008317
                     20,                0.84926,                0.61168,                 1.0311,                 1.0173,                0.71417,                 1.0395,                0.83912,                0.82562,                0.88501,                0.70655,                0.74722,                0.55015,                 1.0005,                0.83486,                0.60827,                   1.02,               0.008218,               0.008218,               0.008218
