                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3511,                 3.0449,                 3.0582,                 2.9959,                 3.8794,                 2.8272,                0.44967,                 0.4195,                0.39515,                0.21614,                 1.7754,                 1.5096,                 1.8087,                 1.6413,                 2.0809,                 1.6366,               0.070039,               0.003329,               0.003329
                      2,                 1.6363,                 1.3314,                 1.5505,                 1.7208,                 1.7841,                 1.4541,                0.60739,                0.57671,                0.60505,                0.39157,                 1.2759,                  1.193,                 1.3525,                 1.3407,                 1.6665,                 1.3422,               0.039973,              0.0065964,              0.0065964
                      3,                  1.375,                 1.1311,                 1.3281,                 1.5158,                 1.4753,                 1.2922,                0.69036,                0.65541,                0.71232,                 0.4899,                 1.1418,                 1.0154,                 1.2359,                 1.1999,                 1.1911,                 1.2243,               0.009841,              0.0097978,              0.0097978
                      4,                 1.2275,                 0.9887,                 1.2233,                  1.389,                 1.2538,                 1.2066,                0.71547,                 0.6913,                0.73696,                0.52958,                 1.0168,                0.90428,                 1.1502,                 1.1097,                 1.1013,                 1.1584,               0.009703,               0.009703,               0.009703
                      5,                 1.1322,                0.89029,                 1.1769,                 1.3029,                 1.1242,                 1.1687,                0.74437,                0.72792,                0.78448,                0.57625,                0.95721,                0.87005,                 1.1108,                 1.0526,                 1.0534,                 1.1266,               0.009703,               0.009703,               0.009703
                      6,                  1.075,                0.83363,                 1.1455,                 1.2486,                 1.0488,                 1.1399,                0.76187,                0.72519,                0.78484,                0.58781,                0.91216,                0.78242,                  1.095,                 1.0081,                0.96115,                 1.1147,               0.009604,               0.009604,               0.009604
                      7,                 1.0299,                0.78715,                 1.1201,                 1.2098,                 0.9706,                 1.1207,                0.76933,                0.75467,                 0.8042,                0.60489,                0.88093,                0.70294,                 1.0781,                0.98094,                0.88311,                 1.0977,               0.009505,               0.009505,               0.009505
                      8,                0.99765,                0.75754,                 1.1058,                 1.1775,                0.92956,                  1.111,                0.77502,                 0.7649,                 0.7978,                 0.6104,                0.84115,                0.70774,                 1.0577,                0.93864,                0.94087,                 1.0801,               0.009406,               0.009406,               0.009406
                      9,                0.97499,                0.73526,                  1.098,                 1.1542,                0.88395,                 1.1032,                0.79797,                0.77012,                0.83473,                0.64217,                0.83514,                0.66709,                 1.0477,                  0.931,                0.78217,                 1.0693,               0.009307,               0.009307,               0.009307
                     10,                0.95545,                 0.7172,                 1.0868,                 1.1399,                0.85798,                 1.0931,                0.80697,                0.78571,                0.84645,                0.65094,                0.83954,                0.65531,                 1.0522,                0.93395,                0.74487,                 1.0711,               0.009208,               0.009208,               0.009208
