                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3608,                 2.6597,                 3.3599,                 3.0025,                  3.361,                 3.0465,                0.44008,                0.41957,                0.37263,                0.19254,                 1.9637,                 1.4496,                 2.1595,                  1.865,                 1.9472,                 1.9859,               0.069373,              0.0026632,              0.0026632
                      2,                 1.7776,                 1.2677,                 1.8479,                 1.8351,                 1.7004,                 1.7241,                0.59942,                0.52879,                0.57265,                0.36065,                 1.4864,                 1.0992,                 1.6246,                 1.4864,                 1.4595,                 1.5672,               0.038618,              0.0052418,              0.0052418
                      3,                 1.4924,                 1.0731,                 1.5679,                 1.6026,                 1.4208,                 1.5209,                0.65859,                0.62184,                0.65871,                0.45345,                 1.2251,                0.98421,                 1.4185,                 1.2828,                 1.2251,                 1.3932,              0.0077754,              0.0077321,              0.0077321
                      4,                 1.3263,                0.95524,                 1.4356,                 1.4605,                 1.2264,                 1.4106,                0.70772,                0.67442,                0.73182,                0.52367,                 1.0987,                 0.8326,                 1.3178,                 1.1855,                 1.0441,                 1.3215,              0.0076032,              0.0076032,              0.0076032
                      5,                  1.207,                0.85181,                 1.3547,                  1.355,                 1.0696,                 1.3465,                0.74284,                0.70524,                0.77147,                0.56366,                 1.0463,                0.76241,                  1.279,                 1.1278,                0.88355,                  1.284,              0.0076032,              0.0076032,              0.0076032
                      6,                 1.1369,                0.78471,                 1.3132,                  1.295,                0.97578,                 1.3148,                 0.7707,                 0.7232,                0.79861,                0.59208,                0.99455,                 0.6839,                 1.2494,                 1.0913,                0.81032,                 1.2596,              0.0074709,              0.0074709,              0.0074709
                      7,                 1.0914,                0.74497,                 1.2846,                 1.2603,                0.91629,                 1.2928,                0.78429,                0.75123,                 0.8181,                0.61779,                0.95059,                0.65536,                   1.22,                 1.0518,                0.75257,                 1.2378,              0.0073387,              0.0073387,              0.0073387
                      8,                 1.0586,                0.70889,                 1.2642,                 1.2311,                0.85315,                 1.2743,                0.77516,                0.75531,                0.81943,                 0.6199,                0.92376,                0.69155,                  1.203,                 1.0379,                0.83665,                 1.2245,              0.0072064,              0.0072064,              0.0072064
                      9,                 1.0302,                0.68001,                 1.2478,                 1.1957,                0.81921,                 1.2572,                0.80014,                0.76714,                0.84146,                0.64602,                0.90364,                0.60867,                 1.1923,                0.99577,                0.70079,                  1.207,              0.0070741,              0.0070741,              0.0070741
                     10,                 1.0031,                0.65481,                  1.238,                 1.1711,                0.78874,                 1.2505,                 0.8088,                0.76253,                0.84191,                 0.6552,                0.88262,                0.59364,                 1.1794,                0.98299,                0.69061,                 1.1993,              0.0069419,              0.0069419,              0.0069419
                     11,                0.98562,                0.64549,                 1.2274,                 1.1541,                0.77528,                 1.2428,                0.81578,                0.78256,                0.85642,                0.66318,                0.86918,                0.56734,                  1.173,                0.97306,                0.64953,                 1.1936,              0.0068096,              0.0068096,              0.0068096
