                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5072,                  3e-05,                 3.2621,                 3.0789,                  6e-05,                 2.9472,                0.00347,                0.36056,                0.00241,                0.00115,                 1.9072,                  7e-05,                 2.0741,                 1.6752,                0.00013,                 1.9061,               0.069373,              0.0026632,              0.0026632
                      2,                 1.7329,                  4e-05,                 1.7126,                 1.6742,                  6e-05,                 1.5825,                0.19978,                0.10893,                0.06526,                0.03474,                 1.4047,                  6e-05,                 1.4664,                 1.3277,                  8e-05,                 1.3931,               0.038618,              0.0052418,              0.0052418
                      3,                 1.4626,                  5e-05,                 1.4042,                 1.4377,                  6e-05,                 1.3279,                0.05211,                0.06208,                0.02032,                0.01187,                 1.2295,                  6e-05,                 1.2542,                 1.1468,                  9e-05,                 1.2159,              0.0077754,              0.0077321,              0.0077321
                      4,                  1.305,                  5e-05,                 1.2549,                 1.3015,                  6e-05,                 1.2112,                0.05452,                0.01638,                0.01628,                0.01017,                 1.0857,                  7e-05,                 1.1564,                 1.0452,                  9e-05,                 1.1266,              0.0076032,              0.0076032,              0.0076032
                      5,                 1.2026,                  5e-05,                 1.1917,                 1.2182,                  6e-05,                 1.1544,                0.03094,                0.04721,                0.01183,                0.00772,                 1.0079,                  7e-05,                 1.1208,                 0.9627,                  9e-05,                 1.0931,              0.0076032,              0.0076032,              0.0076032
                      6,                 1.1515,                  5e-05,                 1.1579,                 1.1679,                  6e-05,                 1.1191,                0.13074,                0.02689,                0.01991,                0.01183,                0.97208,                  7e-05,                 1.0948,                0.92966,                  9e-05,                 1.0606,              0.0074709,              0.0074709,              0.0074709
                      7,                 1.1176,                  5e-05,                 1.1297,                 1.1375,                  6e-05,                 1.0954,                0.26311,                0.04263,                0.04868,                0.02495,                0.95022,                  7e-05,                 1.0745,                0.91631,                  9e-05,                 1.0447,              0.0073387,              0.0073387,              0.0073387
                      8,                 1.1048,                  5e-05,                 1.1096,                 1.1182,                  6e-05,                 1.0804,                0.23462,                0.05729,                0.07675,                0.04052,                 0.9687,                  6e-05,                 1.0522,                0.94096,                  8e-05,                  1.035,              0.0072064,              0.0072064,              0.0072064
                      9,                 1.0845,                  5e-05,                 1.0888,                 1.0918,                  6e-05,                 1.0676,                0.16653,                0.12782,                 0.0686,                0.03905,                0.93314,                  6e-05,                 1.0345,                0.90142,                  9e-05,                 1.0181,              0.0070741,              0.0070741,              0.0070741
                     10,                 1.0627,                  5e-05,                 1.0739,                 1.0748,                  6e-05,                 1.0547,                0.13445,                 0.2012,                0.06835,                0.04107,                0.91544,                  6e-05,                 1.0247,                0.88938,                  8e-05,                0.99776,              0.0069419,              0.0069419,              0.0069419
                     11,                 1.0459,                  5e-05,                 1.0636,                 1.0643,                  6e-05,                 1.0426,                0.18369,                0.14555,                0.08912,                0.05343,                0.89291,                  7e-05,                 1.0191,                 0.8716,                  8e-05,                0.99455,              0.0068096,              0.0068096,              0.0068096
                     12,                 1.0263,                  5e-05,                 1.0556,                 1.0452,                  6e-05,                 1.0369,                0.20827,                0.08783,                0.09576,                0.05705,                0.88202,                  6e-05,                  1.015,                0.85751,                  8e-05,                0.98605,              0.0066773,              0.0066773,              0.0066773
                     13,                 1.0117,                  5e-05,                 1.0518,                 1.0321,                  6e-05,                 1.0319,                0.18381,                0.08912,                0.09394,                0.05861,                0.87129,                  6e-05,                 1.0127,                0.85054,                  8e-05,                0.98436,              0.0065451,              0.0065451,              0.0065451
                     14,                0.99421,                  5e-05,                 1.0429,                 1.0142,                  6e-05,                 1.0251,                0.36785,                0.03613,                0.11684,                0.07886,                0.85286,                  6e-05,                 1.0108,                0.83241,                  8e-05,                0.98864,              0.0064128,              0.0064128,              0.0064128
                     15,                0.98605,                  4e-05,                 1.0422,                 1.0096,                  6e-05,                 1.0273,                 0.3874,                0.06934,                0.13884,                0.09787,                0.85192,                  6e-05,                 1.0066,                0.82343,                  8e-05,                0.99598,              0.0062805,              0.0062805,              0.0062805
                     16,                 0.9727,                  5e-05,                  1.038,                0.99594,                  6e-05,                 1.0238,                0.52974,                0.07703,                0.17396,                0.12814,                0.83957,                  6e-05,                 1.0016,                0.81458,                  8e-05,                0.98989,              0.0061483,              0.0061483,              0.0061483
                     17,                0.96486,                  4e-05,                  1.036,                0.98989,                  6e-05,                 1.0257,                0.53739,                0.08991,                0.18917,                0.14165,                0.83794,                  6e-05,                 1.0043,                0.82756,                  8e-05,                  1.002,               0.006016,               0.006016,               0.006016
                     18,                0.95432,                  4e-05,                 1.0357,                0.97948,                  6e-05,                 1.0319,                0.55329,                0.09594,                0.19414,                0.14803,                0.82453,                  6e-05,                0.99847,                0.80379,                  7e-05,                0.99631,              0.0058837,              0.0058837,              0.0058837
                     19,                0.94956,                  4e-05,                 1.0337,                0.97753,                  5e-05,                  1.031,                0.43993,                0.08018,                0.15805,                0.11848,                0.81718,                  6e-05,                0.99288,                0.79902,                  8e-05,                0.98149,              0.0057515,              0.0057515,              0.0057515
                     20,                0.94204,                  4e-05,                 1.0287,                0.96884,                  5e-05,                 1.0237,                0.52707,                0.13189,                0.22334,                0.17499,                 0.8179,                  6e-05,                0.99681,                0.79833,                  7e-05,                 1.0027,              0.0056192,              0.0056192,              0.0056192
                     21,                0.93209,                  4e-05,                 1.0298,                0.96291,                  5e-05,                 1.0314,                0.46892,                0.14715,                0.21358,                0.16867,                 0.8077,                  6e-05,                0.99697,                0.78974,                  7e-05,                 1.0013,              0.0054869,              0.0054869,              0.0054869
                     22,                0.92555,                  4e-05,                 1.0297,                 0.9586,                  5e-05,                 1.0345,                0.45529,                0.13769,                0.19018,                0.15208,                0.79791,                  6e-05,                0.99126,                0.77695,                  7e-05,                0.99737,              0.0053547,              0.0053547,              0.0053547
                     23,                0.92079,                  4e-05,                 1.0262,                0.95154,                  5e-05,                 1.0336,                0.41092,                0.18072,                0.22122,                0.17907,                0.79839,                  6e-05,                 0.9952,                0.77736,                  7e-05,                 1.0077,              0.0052224,              0.0052224,              0.0052224
                     24,                0.91632,                  4e-05,                 1.0252,                0.94293,                  5e-05,                 1.0349,                0.46588,                0.16401,                 0.2232,                0.18007,                0.79344,                  6e-05,                0.99195,                0.77545,                  7e-05,                 1.0059,              0.0050901,              0.0050901,              0.0050901
                     25,                0.90246,                  4e-05,                  1.021,                0.93281,                  5e-05,                 1.0329,                0.42584,                0.21374,                0.24514,                0.19978,                0.79048,                  6e-05,                0.99167,                0.77626,                  6e-05,                 1.0148,              0.0049579,              0.0049579,              0.0049579
                     26,                0.90187,                  4e-05,                 1.0225,                0.93391,                  5e-05,                 1.0381,                0.38551,                0.21794,                0.23443,                0.18974,                0.78653,                  6e-05,                 0.9912,                0.77102,                  6e-05,                 1.0161,              0.0048256,              0.0048256,              0.0048256
                     27,                0.89315,                  4e-05,                 1.0199,                0.92705,                  5e-05,                 1.0383,                0.37196,                0.23214,                0.23435,                0.19234,                0.78116,                  6e-05,                0.98905,                0.76786,                  6e-05,                 1.0174,              0.0046933,              0.0046933,              0.0046933
                     28,                0.89327,                  4e-05,                 1.0184,                0.92908,                  5e-05,                 1.0417,                0.42508,                0.23867,                0.26719,                0.21888,                0.77559,                  6e-05,                0.98444,                0.76011,                  6e-05,                 1.0134,              0.0045611,              0.0045611,              0.0045611
