                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7758,                0.00015,                 3.3761,                 3.3359,                0.00022,                 3.0518,                0.00166,                0.17259,                0.00097,                0.00038,                 2.0674,                0.00033,                 2.2334,                 1.8095,                0.00066,                 2.0914,               0.069373,              0.0026632,              0.0026632
                      2,                 1.7881,                0.00018,                  1.747,                 1.7331,                0.00024,                 1.6076,                0.04354,                0.03161,                0.01574,                0.00811,                 1.4469,                0.00026,                 1.4659,                 1.3555,                0.00035,                 1.3943,               0.038618,              0.0052418,              0.0052418
                      3,                 1.4852,                0.00018,                 1.4022,                 1.4644,                0.00024,                 1.3156,                0.21993,                0.10142,                0.06842,                0.04051,                  1.256,                0.00024,                 1.2815,                 1.1916,                0.00031,                 1.2128,              0.0077754,              0.0077321,              0.0077321
                      4,                 1.3356,                0.00018,                 1.2707,                 1.3485,                0.00023,                 1.2159,                0.29594,                0.07889,                0.08465,                0.05921,                 1.1502,                0.00025,                  1.203,                 1.0969,                0.00031,                 1.1744,              0.0076032,              0.0076032,              0.0076032
                      5,                 1.2229,                0.00018,                 1.1995,                 1.2483,                0.00023,                 1.1677,                0.16456,                0.06002,                0.04759,                0.03248,                 1.0358,                0.00026,                  1.145,                 1.0117,                0.00032,                 1.1236,              0.0076032,              0.0076032,              0.0076032
                      6,                 1.1594,                0.00018,                  1.171,                 1.1907,                0.00023,                 1.1441,                0.14251,                0.07227,                0.04142,                0.02934,                0.97557,                0.00026,                   1.12,                0.95006,                0.00032,                 1.1053,              0.0074709,              0.0074709,              0.0074709
                      7,                 1.1239,                0.00018,                 1.1539,                 1.1607,                0.00023,                 1.1306,                 0.2141,                 0.0952,                0.06396,                0.04506,                0.95697,                0.00026,                 1.1017,                0.94623,                0.00031,                 1.0925,              0.0073387,              0.0073387,              0.0073387
                      8,                 1.0956,                0.00018,                  1.136,                 1.1305,                0.00022,                 1.1211,                0.29857,                0.17016,                0.11881,                0.08868,                0.96109,                0.00025,                 1.1104,                0.92319,                0.00029,                 1.1111,              0.0072064,              0.0072064,              0.0072064
                      9,                 1.0803,                0.00018,                 1.1255,                 1.1126,                0.00021,                 1.1186,                0.22202,                0.18718,                0.12412,                 0.0964,                0.94622,                0.00024,                 1.0911,                0.92695,                0.00027,                 1.1072,              0.0070741,              0.0070741,              0.0070741
                     10,                 1.0582,                0.00017,                 1.1136,                 1.0931,                 0.0002,                 1.1105,                0.25861,                 0.1806,                0.12388,                0.09721,                0.93923,                0.00024,                 1.0963,                  0.909,                0.00027,                 1.1094,              0.0069419,              0.0069419,              0.0069419
