                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1441,                 1.5037,                 1.7927,                 2.1812,                 2.0324,                 1.6496,                 0.6393,                0.56098,                0.61831,                0.39954,                  1.392,                 1.0111,                 1.2836,                 1.4925,                  1.321,                 1.2463,               0.067109,             0.00039948,             0.00039948
                      2,                 1.4376,                0.98618,                 1.2983,                 1.6046,                 1.2805,                 1.2714,                0.70335,                 0.6551,                0.71913,                0.48844,                 1.2231,                0.87701,                 1.2084,                 1.3319,                 1.0772,                  1.187,               0.034168,             0.00079157,             0.00079157
                      3,                   1.29,                0.87134,                 1.2265,                 1.4693,                 1.1123,                 1.2131,                0.74474,                0.68493,                0.76004,                0.54612,                 1.1155,                0.77842,                 1.1527,                 1.1945,                0.92608,                 1.1412,               0.001219,              0.0011757,              0.0011757
                      4,                 1.2004,                 0.7973,                 1.1872,                 1.3815,                 1.0084,                 1.1798,                0.75179,                0.70539,                0.77716,                0.56833,                 1.0394,                 0.7398,                 1.1205,                 1.1495,                0.87859,                 1.1207,              0.0011644,              0.0011644,              0.0011644
                      5,                 1.1438,                0.75798,                 1.1625,                 1.3267,                0.94845,                 1.1599,                0.77409,                0.71615,                0.79979,                0.59433,                0.99121,                 0.6857,                 1.1058,                 1.0868,                0.80982,                 1.1043,              0.0011644,              0.0011644,              0.0011644
                      6,                 1.1144,                0.73646,                 1.1456,                  1.292,                0.91335,                 1.1475,                0.78813,                0.74125,                0.82052,                0.60897,                0.98616,                0.65534,                 1.0985,                 1.0992,                0.76191,                 1.1057,              0.0011525,              0.0011525,              0.0011525
                      7,                 1.0807,                0.70898,                 1.1313,                 1.2572,                0.86995,                 1.1347,                 0.7758,                0.75109,                0.82395,                0.61649,                0.97905,                0.67159,                 1.0877,                 1.0819,                0.77206,                 1.0902,              0.0011406,              0.0011406,              0.0011406
                      8,                 1.0569,                0.68616,                 1.1217,                  1.235,                0.83501,                 1.1271,                0.79902,                0.75989,                0.83867,                 0.6392,                0.92723,                0.61576,                 1.0758,                 1.0244,                0.70933,                  1.081,              0.0011287,              0.0011287,              0.0011287
                      9,                 1.0384,                0.67821,                 1.1122,                 1.2158,                0.82469,                 1.1195,                0.79687,                0.75781,                0.83976,                 0.6451,                0.90697,                0.60862,                 1.0668,                0.99668,                0.69368,                 1.0712,              0.0011168,              0.0011168,              0.0011168
                     10,                 1.0185,                0.65434,                 1.1051,                 1.1959,                0.79202,                  1.116,                0.80895,                0.76847,                0.84827,                0.65903,                 0.8863,                0.59128,                 1.0576,                0.98076,                0.67382,                 1.0651,               0.001105,               0.001105,               0.001105
                     11,                 1.0103,                0.65112,                 1.1017,                 1.1844,                0.78091,                  1.112,                0.81049,                0.77784,                0.85553,                0.66767,                0.87879,                0.57459,                 1.0558,                0.97073,                0.65207,                 1.0608,              0.0010931,              0.0010931,              0.0010931
                     12,                0.98907,                0.63123,                 1.0941,                 1.1609,                0.75011,                 1.1072,                0.80644,                0.78378,                0.85734,                0.67409,                0.86273,                0.57726,                 1.0509,                0.95649,                0.65337,                 1.0595,              0.0010812,              0.0010812,              0.0010812
                     13,                0.98439,                0.62723,                 1.0901,                 1.1526,                0.74798,                  1.101,                0.82342,                0.77927,                0.85996,                0.67257,                0.86831,                0.56437,                 1.0528,                0.95796,                0.63753,                 1.0579,              0.0010693,              0.0010693,              0.0010693
                     14,                0.97011,                0.61644,                 1.0845,                 1.1401,                0.72606,                 1.0966,                0.81711,                0.79828,                0.86996,                0.68313,                0.85245,                0.54295,                 1.0452,                0.93994,                0.60976,                 1.0513,              0.0010574,              0.0010574,              0.0010574
                     15,                0.96406,                0.61408,                 1.0841,                 1.1296,                0.72218,                 1.0961,                0.82021,                0.78621,                0.86625,                0.68447,                0.84691,                0.54961,                 1.0435,                0.93379,                0.61323,                 1.0487,              0.0010456,              0.0010456,              0.0010456
                     16,                0.95369,                0.59807,                 1.0792,                 1.1175,                0.70168,                 1.0908,                 0.8263,                0.80094,                0.87458,                0.69644,                0.83032,                0.54655,                 1.0409,                 0.9154,                0.60929,                 1.0454,              0.0010337,              0.0010337,              0.0010337
                     17,                0.94451,                 0.5943,                 1.0751,                 1.1111,                0.69828,                 1.0879,                 0.8297,                 0.8028,                0.87679,                  0.696,                0.82901,                0.53116,                 1.0389,                0.91032,                0.59712,                 1.0429,              0.0010218,              0.0010218,              0.0010218
                     18,                 0.9308,                0.58712,                  1.068,                 1.0916,                0.68095,                 1.0807,                0.83295,                0.80603,                0.88255,                0.70198,                0.82403,                0.52711,                 1.0367,                0.90656,                0.58382,                 1.0412,              0.0010099,              0.0010099,              0.0010099
                     19,                0.92413,                0.58105,                 1.0672,                 1.0845,                0.68148,                 1.0797,                0.83563,                0.80652,                0.88362,                0.70481,                0.81081,                0.52006,                 1.0318,                 0.8985,                0.58242,                 1.0381,             0.00099804,             0.00099804,             0.00099804
                     20,                0.91726,                 0.5727,                 1.0647,                  1.081,                0.66901,                 1.0799,                0.84727,                0.80488,                0.88719,                0.70798,                0.80862,                0.50482,                 1.0295,                0.89474,                0.55583,                 1.0382,             0.00098616,             0.00098616,             0.00098616
                     21,                0.91833,                0.57146,                 1.0654,                 1.0788,                 0.6653,                 1.0804,                 0.8381,                0.80568,                0.88354,                0.70892,                0.79865,                0.50537,                 1.0276,                0.88583,                0.55883,                 1.0351,             0.00097428,             0.00097428,             0.00097428
                     22,                0.90669,                0.56384,                 1.0608,                 1.0645,                0.65351,                 1.0765,                0.83384,                0.81982,                0.88577,                0.71329,                0.79779,                0.50672,                 1.0271,                0.87837,                0.56355,                 1.0343,              0.0009624,              0.0009624,              0.0009624
                     23,                0.90534,                0.55835,                  1.059,                 1.0667,                0.64808,                 1.0734,                0.84033,                 0.8136,                0.88956,                0.71774,                0.78732,                0.49942,                 1.0219,                0.86613,                0.55942,                 1.0297,             0.00095052,             0.00095052,             0.00095052
                     24,                0.89556,                0.55145,                 1.0558,                 1.0511,                0.63805,                 1.0702,                0.84721,                0.81861,                0.89518,                0.72276,                0.77849,                0.48586,                 1.0177,                0.86161,                0.53123,                 1.0252,             0.00093864,             0.00093864,             0.00093864
                     25,                 0.8946,                 0.5472,                 1.0574,                 1.0508,                0.63404,                 1.0717,                0.85318,                0.82498,                0.89916,                0.72761,                0.77726,                0.47778,                 1.0183,                0.85652,                0.52365,                 1.0257,             0.00092676,             0.00092676,             0.00092676
                     26,                0.88536,                0.53908,                 1.0539,                 1.0417,                0.62313,                 1.0694,                0.85118,                0.82472,                0.89849,                0.72752,                0.77321,                0.47999,                 1.0167,                0.85202,                0.52467,                 1.0245,             0.00091488,             0.00091488,             0.00091488
                     27,                0.87787,                0.53696,                  1.049,                 1.0352,                0.61917,                 1.0648,                0.85084,                0.82863,                0.90045,                0.73101,                0.76992,                 0.4714,                 1.0139,                0.84639,                0.52123,                 1.0205,               0.000903,               0.000903,               0.000903
                     28,                0.87473,                0.53118,                 1.0491,                 1.0298,                0.61141,                 1.0655,                0.85394,                0.83728,                0.90468,                0.73681,                0.76084,                0.46106,                 1.0111,                0.83692,                0.50423,                 1.0179,             0.00089112,             0.00089112,             0.00089112
                     29,                0.87322,                0.53173,                 1.0489,                 1.0267,                0.60643,                  1.063,                0.85619,                0.83675,                0.90629,                0.73722,                0.76179,                0.45911,                 1.0119,                0.83637,                0.50266,                 1.0165,             0.00087924,             0.00087924,             0.00087924
