                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1265,                 1.4964,                 1.8059,                 2.1305,                 2.0191,                 1.6695,                0.66116,                0.58079,                0.64342,                0.40812,                  1.409,                 1.0014,                  1.305,                 1.5018,                 1.2828,                 1.2786,               0.067109,             0.00039948,             0.00039948
                      2,                  1.428,                0.97775,                 1.2912,                 1.5907,                 1.2738,                 1.2758,                0.69208,                0.63339,                0.70308,                0.47642,                 1.2128,                0.88412,                 1.2084,                 1.2922,                 1.1245,                 1.1862,               0.034163,             0.00078629,             0.00078629
                      3,                 1.2847,                0.86882,                 1.2192,                 1.4572,                 1.1141,                 1.2105,                0.73199,                0.69095,                0.75591,                 0.5307,                 1.1185,                0.82001,                 1.1521,                 1.2068,                0.98892,                 1.1485,              0.0012031,              0.0011599,              0.0011599
                      4,                  1.193,                0.79841,                 1.1789,                   1.37,                 1.0125,                 1.1768,                0.76241,                 0.7124,                0.79217,                0.57652,                 1.0803,                0.72419,                 1.1228,                 1.1573,                0.84863,                 1.1174,              0.0011406,              0.0011406,              0.0011406
                      5,                 1.1409,                0.75844,                 1.1577,                 1.3158,                0.94891,                 1.1606,                0.75215,                0.72455,                0.79613,                0.59234,                0.97926,                0.76249,                 1.0987,                 1.0844,                 0.9315,                 1.1051,              0.0011406,              0.0011406,              0.0011406
                      6,                  1.107,                0.73414,                 1.1426,                 1.2871,                0.90722,                 1.1487,                0.77759,                0.73344,                0.81339,                 0.6159,                0.96692,                0.67014,                 1.0887,                 1.0572,                0.77356,                 1.0964,              0.0011208,              0.0011208,              0.0011208
                      7,                 1.0697,                0.70093,                 1.1233,                 1.2483,                0.85126,                 1.1336,                0.78322,                 0.7559,                0.82959,                0.63316,                0.93428,                0.63505,                  1.083,                 1.0275,                0.72101,                 1.0888,               0.001101,               0.001101,               0.001101
                      8,                 1.0525,                0.68632,                  1.119,                 1.2278,                0.83875,                 1.1297,                0.80251,                0.74608,                0.83652,                0.64562,                0.92857,                0.62124,                 1.0773,                 1.0048,                0.70502,                 1.0784,              0.0010812,              0.0010812,              0.0010812
                      9,                 1.0277,                 0.6718,                 1.1089,                 1.2019,                0.80797,                   1.12,                0.81628,                0.75539,                0.84266,                0.64739,                0.91277,                0.61614,                 1.0709,                 1.0072,                0.70496,                 1.0778,              0.0010614,              0.0010614,              0.0010614
                     10,                 1.0131,                0.65636,                 1.1022,                 1.1889,                0.78817,                 1.1149,                0.82107,                0.76511,                0.84824,                0.65973,                0.88985,                0.59105,                 1.0627,                0.97858,                0.65884,                 1.0711,              0.0010416,              0.0010416,              0.0010416
                     11,                0.99774,                0.64282,                 1.0959,                 1.1724,                0.76998,                 1.1097,                0.81127,                0.77434,                0.85626,                0.66378,                0.88031,                0.57764,                 1.0568,                0.97554,                0.64395,                  1.065,              0.0010218,              0.0010218,              0.0010218
                     12,                0.98746,                0.62859,                  1.094,                 1.1601,                0.75072,                 1.1095,                0.81856,                0.78399,                0.86056,                0.66663,                0.88333,                 0.5692,                 1.0605,                0.97337,                0.63383,                 1.0708,               0.001002,               0.001002,               0.001002
                     13,                0.97584,                0.62561,                 1.0891,                 1.1487,                0.74225,                 1.1029,                0.81091,                0.78986,                0.86332,                0.67783,                0.85664,                0.56753,                 1.0509,                0.95334,                0.62748,                 1.0627,              0.0009822,              0.0009822,              0.0009822
                     14,                0.95953,                0.60917,                 1.0804,                 1.1269,                0.71958,                 1.0943,                0.82304,                0.78864,                0.86771,                0.68498,                 0.8404,                 0.5437,                 1.0458,                 0.9265,                0.60609,                 1.0512,              0.0009624,              0.0009624,              0.0009624
                     15,                0.95158,                0.60504,                 1.0771,                 1.1202,                0.70885,                 1.0919,                0.82561,                0.80421,                0.87355,                0.68926,                0.83516,                0.54163,                 1.0418,                0.91704,                0.59441,                 1.0478,              0.0009426,              0.0009426,              0.0009426
                     16,                 0.9472,                0.59464,                 1.0773,                 1.1126,                0.69508,                 1.0913,                0.83555,                0.80445,                0.87648,                0.69677,                0.82234,                0.53143,                  1.042,                0.91034,                0.57708,                 1.0482,              0.0009228,              0.0009228,              0.0009228
                     17,                0.93757,                0.58913,                 1.0746,                 1.1064,                0.68785,                 1.0885,                0.84368,                0.79994,                0.88063,                0.69918,                0.81912,                0.53063,                 1.0361,                0.90305,                0.58379,                 1.0439,               0.000903,               0.000903,               0.000903
                     18,                0.92594,                0.58344,                 1.0698,                 1.0915,                0.68016,                 1.0857,                0.83756,                0.80531,                0.88432,                0.70832,                0.80229,                0.51953,                 1.0292,                0.88765,                0.56656,                 1.0382,              0.0008832,              0.0008832,              0.0008832
                     19,                0.92437,                0.57565,                 1.0675,                  1.089,                0.66475,                 1.0828,                0.83351,                0.80856,                0.88305,                0.70857,                0.80261,                0.51542,                 1.0315,                0.88904,                0.56384,                 1.0388,              0.0008634,              0.0008634,              0.0008634
                     20,                0.91764,                0.56913,                 1.0652,                 1.0807,                0.65814,                 1.0791,                0.83585,                0.81532,                0.88759,                0.71292,                0.79635,                0.50554,                  1.028,                0.87777,                0.55182,                 1.0388,              0.0008436,              0.0008436,              0.0008436
                     21,                0.90995,                0.56877,                  1.063,                 1.0741,                0.65859,                 1.0799,                0.84025,                0.82276,                0.89161,                 0.7152,                0.79696,                0.49939,                 1.0274,                0.87875,                  0.539,                 1.0347,              0.0008238,              0.0008238,              0.0008238
                     22,                0.90221,                0.56281,                 1.0619,                 1.0659,                0.64829,                 1.0762,                 0.8473,                0.81282,                0.89194,                0.71866,                0.78696,                0.50511,                 1.0265,                0.86906,                0.55611,                 1.0348,               0.000804,               0.000804,               0.000804
                     23,                0.89969,                0.55671,                 1.0583,                 1.0589,                0.63886,                 1.0724,                0.84459,                0.82247,                0.89418,                0.72343,                0.77773,                0.48803,                 1.0218,                0.85819,                0.52835,                 1.0297,              0.0007842,              0.0007842,              0.0007842
                     24,                0.89413,                0.55183,                 1.0562,                 1.0509,                0.63449,                 1.0695,                0.84402,                0.82226,                 0.8938,                0.72074,                0.78047,                0.49774,                 1.0209,                0.86134,                0.54255,                 1.0287,              0.0007644,              0.0007644,              0.0007644
                     25,                  0.879,                0.54303,                 1.0508,                 1.0412,                 0.6157,                 1.0649,                0.85693,                0.81999,                0.89888,                0.72741,                0.77687,                0.48464,                 1.0201,                0.85889,                0.52015,                 1.0272,              0.0007446,              0.0007446,              0.0007446
                     26,                0.87876,                0.54157,                 1.0529,                 1.0346,                0.62161,                 1.0675,                0.86188,                0.82462,                0.90326,                0.73501,                0.76335,                0.47244,                 1.0158,                0.84214,                0.50464,                 1.0225,              0.0007248,              0.0007248,              0.0007248
                     27,                0.86788,                0.54042,                 1.0455,                 1.0261,                0.60703,                 1.0605,                0.85442,                0.83442,                0.90483,                0.73782,                 0.7575,                0.47001,                 1.0134,                0.83912,                0.50217,                 1.0223,               0.000705,               0.000705,               0.000705
                     28,                0.86849,                0.52859,                 1.0444,                 1.0274,                0.60523,                 1.0601,                0.85788,                0.83685,                0.90675,                0.73945,                0.75685,                0.46958,                 1.0111,                0.83127,                 0.5025,                 1.0191,              0.0006852,              0.0006852,              0.0006852
                     29,                0.86557,                0.53138,                 1.0445,                 1.0202,                0.60013,                 1.0598,                0.86368,                0.82569,                0.90441,                0.73678,                 0.7596,                0.46834,                  1.013,                0.83618,                0.51091,                 1.0204,              0.0006654,              0.0006654,              0.0006654
                     30,                0.86004,                0.52265,                  1.045,                 1.0128,                0.59406,                 1.0605,                0.86214,                0.83509,                0.90834,                 0.7422,                0.74913,                0.46091,                  1.008,                0.82541,                0.49388,                 1.0179,              0.0006456,              0.0006456,              0.0006456
                     31,                0.85421,                0.51745,                 1.0391,                 1.0122,                0.58688,                 1.0554,                0.86863,                0.83617,                0.91005,                 0.7474,                0.74418,                0.45276,                 1.0077,                0.82051,                 0.4792,                 1.0162,              0.0006258,              0.0006258,              0.0006258
                     32,                0.84322,                0.50764,                 1.0383,                0.99592,                0.57351,                 1.0535,                0.86439,                0.84484,                0.91366,                0.74681,                0.74221,                0.45186,                 1.0049,                0.81945,                0.47761,                 1.0129,               0.000606,               0.000606,               0.000606
                     33,                0.84809,                0.51058,                 1.0412,                 1.0021,                 0.5782,                 1.0555,                0.86755,                0.84378,                0.91339,                0.75011,                0.74071,                0.44868,                 1.0046,                0.81366,                0.47807,                 1.0123,              0.0005862,              0.0005862,              0.0005862
                     34,                0.83858,                0.50642,                 1.0349,                0.99362,                0.57089,                 1.0511,                0.87733,                0.84408,                0.91634,                0.75272,                0.73483,                 0.4436,                 1.0007,                0.81007,                0.46813,                 1.0103,              0.0005664,              0.0005664,              0.0005664
                     35,                0.84309,                0.50618,                 1.0341,                 0.9961,                0.56884,                 1.0489,                0.87276,                 0.8513,                0.91901,                0.75749,                 0.7292,                0.43239,                0.99852,                0.80363,                0.45609,                 1.0082,              0.0005466,              0.0005466,              0.0005466
                     36,                0.83251,                0.49738,                  1.033,                0.98519,                0.55791,                 1.0486,                0.87182,                 0.8523,                0.91813,                0.75735,                0.72582,                0.43521,                0.99769,                0.80222,                0.46183,                  1.008,              0.0005268,              0.0005268,              0.0005268
                     37,                0.83116,                0.49723,                 1.0338,                0.98119,                0.55133,                  1.049,                0.87864,                 0.8493,                0.91996,                0.75986,                0.72175,                0.43127,                0.99612,                0.79383,                0.45531,                 1.0054,               0.000507,               0.000507,               0.000507
                     38,                0.82755,                0.49071,                 1.0307,                0.98071,                0.55025,                 1.0458,                0.87475,                0.85867,                0.92186,                0.76238,                0.71824,                 0.4254,                0.99469,                0.79198,                0.44577,                 1.0034,              0.0004872,              0.0004872,              0.0004872
                     39,                0.80952,                0.47998,                 1.0235,                0.95823,                0.53371,                 1.0381,                0.87822,                0.85466,                0.92207,                0.76327,                0.71542,                0.42009,                0.99391,                0.78852,                0.44449,                 1.0003,              0.0004674,              0.0004674,              0.0004674
                     40,                0.81586,                0.48337,                  1.025,                 0.9687,                0.54101,                 1.0399,                 0.8812,                0.85909,                0.92343,                0.76445,                0.71554,                0.42037,                0.99382,                0.78711,                0.44189,                 1.0003,              0.0004476,              0.0004476,              0.0004476
                     41,                0.81242,                0.47996,                 1.0257,                0.96377,                0.53368,                 1.0407,                0.88455,                 0.8631,                0.92537,                0.76757,                0.71091,                0.41585,                0.99231,                0.78152,                0.43623,                0.99976,              0.0004278,              0.0004278,              0.0004278
