                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2107,                 2.4404,                 3.1658,                 2.9046,                 3.0779,                 2.8432,                0.46362,                0.46257,                0.42684,                0.23918,                 1.7933,                 1.4324,                 1.9791,                 1.7236,                  1.934,                  1.835,               0.069373,              0.0026632,              0.0026632
                      2,                 1.7438,                 1.2224,                 1.7639,                 1.8288,                 1.6481,                 1.6661,                0.60679,                0.55304,                0.58338,                0.37097,                  1.398,                 1.0419,                 1.5662,                 1.4398,                 1.4309,                 1.5428,               0.038703,              0.0053263,              0.0053263
                      3,                 1.4931,                 1.0498,                 1.5302,                 1.6338,                 1.4046,                 1.4889,                0.65565,                0.62237,                0.66042,                0.44156,                 1.2674,                 1.0093,                 1.4337,                  1.311,                 1.2491,                 1.4227,               0.008018,              0.0079748,              0.0079748
                      4,                 1.3367,                0.94408,                 1.4173,                 1.5007,                  1.224,                 1.3934,                0.71724,                0.66834,                0.73696,                0.53108,                 1.0954,                0.86404,                 1.3311,                 1.1901,                 1.0707,                 1.3416,              0.0079511,              0.0079511,              0.0079511
                      5,                 1.2219,                0.84907,                 1.3383,                 1.4025,                 1.0692,                  1.332,                0.73027,                0.70471,                0.76828,                0.56149,                  1.023,                0.78045,                 1.2718,                 1.1083,                 0.9759,                 1.2813,              0.0079511,              0.0079511,              0.0079511
                      6,                 1.1587,                0.79877,                 1.3087,                 1.3406,                0.99256,                 1.3059,                0.74879,                0.72842,                0.79441,                0.58868,                0.97987,                0.77585,                 1.2464,                 1.0926,                 0.8857,                  1.271,              0.0079133,              0.0079133,              0.0079133
                      7,                 1.1219,                0.75815,                 1.2854,                  1.308,                0.93594,                 1.2854,                0.77576,                 0.7345,                0.80576,                0.61078,                0.97156,                0.68368,                 1.2376,                 1.0601,                0.80966,                   1.25,              0.0078648,              0.0078648,              0.0078648
                      8,                  1.078,                0.72044,                  1.258,                 1.2678,                0.87637,                 1.2615,                0.79117,                0.74337,                0.82159,                0.62575,                0.93024,                0.64961,                 1.2165,                 1.0293,                0.74589,                 1.2411,              0.0078058,              0.0078058,              0.0078058
                      9,                 1.0533,                0.69565,                 1.2489,                 1.2503,                0.85024,                 1.2567,                0.79455,                0.75653,                0.83396,                0.63716,                0.91637,                0.63357,                 1.2089,                 1.0175,                0.73883,                 1.2307,              0.0077364,              0.0077364,              0.0077364
                     10,                 1.0313,                0.67068,                 1.2402,                 1.2206,                0.81188,                 1.2463,                 0.8074,                0.76025,                0.83601,                0.64301,                0.90444,                0.61411,                 1.1978,                 1.0022,                0.70502,                  1.221,              0.0076569,              0.0076569,              0.0076569
                     11,                 1.0136,                0.65658,                 1.2284,                  1.207,                0.79738,                  1.236,                0.81238,                0.77641,                0.84888,                 0.6601,                0.87723,                0.58114,                 1.1845,                 0.9761,                0.65199,                 1.2048,              0.0075675,              0.0075675,              0.0075675
                     12,                 0.9933,                0.64121,                  1.219,                 1.1861,                0.76802,                 1.2273,                0.82075,                0.77884,                0.85708,                0.66529,                0.86881,                0.57302,                 1.1824,                0.96651,                0.65492,                 1.2048,              0.0074684,              0.0074684,              0.0074684
                     13,                0.98421,                0.62692,                  1.215,                 1.1742,                0.74844,                 1.2241,                0.82264,                0.78657,                 0.8595,                 0.6691,                0.86146,                0.56995,                 1.1753,                0.96544,                0.64483,                 1.2022,              0.0073598,              0.0073598,              0.0073598
                     14,                0.97111,                 0.6208,                   1.21,                 1.1605,                0.74209,                 1.2171,                0.82409,                0.79246,                0.86438,                0.67741,                 0.8501,                0.55512,                   1.17,                0.95456,                0.61955,                 1.1925,              0.0072422,              0.0072422,              0.0072422
                     15,                0.95223,                0.60498,                 1.1939,                 1.1389,                 0.7131,                 1.2025,                0.82647,                0.79953,                0.87004,                0.68487,                0.83809,                0.54223,                 1.1629,                 0.9321,                 0.6187,                 1.1807,              0.0071157,              0.0071157,              0.0071157
                     16,                0.94385,                0.59435,                 1.1917,                 1.1279,                0.70567,                  1.201,                0.83443,                0.79412,                0.87054,                0.68827,                0.82325,                0.53571,                 1.1554,                0.91686,                0.60245,                  1.173,              0.0069808,              0.0069808,              0.0069808
                     17,                0.93538,                0.58882,                 1.1899,                 1.1186,                 0.6961,                 1.1976,                0.83096,                0.79851,                0.87293,                0.68859,                0.82875,                0.53575,                 1.1589,                0.92604,                0.60323,                 1.1799,              0.0068378,              0.0068378,              0.0068378
                     18,                0.92703,                0.58046,                 1.1848,                 1.1113,                 0.6834,                 1.1937,                0.82913,                 0.8008,                0.87646,                0.69661,                0.81839,                0.53178,                 1.1494,                0.91301,                0.59307,                 1.1684,              0.0066871,              0.0066871,              0.0066871
                     19,                0.91582,                0.57287,                 1.1791,                 1.0984,                0.67745,                 1.1887,                0.84661,                0.80137,                0.88071,                 0.7011,                0.81013,                0.52187,                 1.1411,                0.90304,                0.58339,                 1.1607,              0.0065291,              0.0065291,              0.0065291
                     20,                0.91101,                0.56353,                 1.1776,                 1.0933,                0.66494,                 1.1857,                0.83276,                0.81754,                0.88362,                0.70705,                0.79923,                0.51072,                 1.1377,                0.89528,                0.56725,                 1.1575,              0.0063643,              0.0063643,              0.0063643
                     21,                0.90432,                0.55742,                 1.1704,                 1.0844,                0.65178,                 1.1799,                0.84121,                0.81904,                0.88735,                0.71158,                0.79551,                0.50104,                 1.1354,                0.89125,                0.54658,                 1.1561,              0.0061931,              0.0061931,              0.0061931
                     22,                0.89438,                0.55403,                 1.1656,                 1.0749,                0.64777,                 1.1767,                0.83962,                0.81303,                0.88488,                0.71266,                0.79532,                0.51711,                 1.1316,                0.88529,                0.57472,                 1.1503,               0.006016,               0.006016,               0.006016
                     23,                0.89348,                0.54801,                 1.1692,                 1.0724,                0.64333,                 1.1758,                0.84894,                0.80876,                0.89082,                0.71809,                0.78327,                0.50032,                 1.1282,                0.87427,                0.57145,                 1.1484,              0.0058334,              0.0058334,              0.0058334
                     24,                0.88075,                0.54234,                 1.1591,                 1.0573,                0.63441,                  1.168,                0.85127,                0.81675,                0.89243,                0.71917,                0.78026,                0.48972,                 1.1264,                0.87178,                0.53954,                 1.1493,              0.0056459,              0.0056459,              0.0056459
                     25,                0.88174,                0.53687,                 1.1595,                 1.0576,                0.63063,                 1.1675,                0.85013,                0.82563,                0.89551,                0.72109,                0.78124,                0.48723,                 1.1271,                0.87234,                0.53913,                 1.1448,               0.005454,               0.005454,               0.005454
                     26,                0.86457,                0.52938,                 1.1524,                 1.0414,                0.61591,                 1.1599,                0.85426,                0.82712,                 0.8993,                0.72546,                0.77403,                0.47953,                 1.1198,                0.86427,                0.52283,                 1.1381,              0.0052582,              0.0052582,              0.0052582
                     27,                0.86585,                0.52911,                 1.1554,                 1.0404,                 0.6151,                 1.1645,                0.85828,                0.82412,                0.90036,                0.72695,                0.76897,                0.47985,                 1.1167,                0.85757,                0.51908,                 1.1367,               0.005059,               0.005059,               0.005059
                     28,                0.85339,                 0.5226,                 1.1444,                 1.0291,                0.60491,                 1.1518,                0.85701,                0.82906,                0.90252,                0.73079,                0.76397,                0.47174,                 1.1145,                0.85081,                 0.5195,                 1.1301,               0.004857,               0.004857,               0.004857
