                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6854,                  2.911,                 3.4784,                 3.2682,                 3.6222,                  3.159,                0.35184,                0.38052,                 0.2544,                0.11764,                 2.2502,                 1.8017,                 2.5038,                 1.9657,                 2.4423,                 2.2103,               0.081624,              0.0015979,              0.0015979
                      2,                 2.0039,                 1.4275,                 2.0061,                 2.0318,                 1.9134,                 1.8172,                 0.5272,                0.49861,                0.48445,                0.29416,                 1.5173,                 1.1956,                 1.7046,                 1.5287,                 1.5997,                 1.6362,               0.063171,              0.0031451,              0.0031451
                      3,                 1.6099,                 1.1806,                 1.6302,                 1.7485,                 1.6019,                 1.5609,                0.62922,                 0.5599,                0.61392,                0.42971,                  1.264,                 1.0085,                 1.4736,                 1.3297,                 1.3611,                  1.458,               0.044665,              0.0046393,              0.0046393
                      4,                 1.4593,                 1.0461,                 1.4908,                 1.6279,                 1.3952,                 1.4478,                0.67739,                0.62896,                0.67912,                0.47224,                 1.1692,                0.90412,                 1.3919,                 1.2559,                 1.2093,                 1.3948,               0.026107,              0.0060806,              0.0060806
                      5,                 1.3554,                0.96991,                 1.4326,                 1.5352,                 1.2777,                 1.4064,                0.69617,                0.65839,                0.70899,                0.50855,                  1.084,                0.83875,                 1.3304,                 1.1776,                 1.0483,                 1.3418,              0.0074949,               0.007469,               0.007469
                      6,                 1.2702,                0.88635,                 1.3616,                 1.4657,                 1.1503,                 1.3482,                0.73726,                0.68601,                0.75866,                0.56102,                 1.0354,                0.79043,                 1.2942,                 1.1112,                 0.9235,                  1.298,              0.0073387,              0.0073387,              0.0073387
                      7,                 1.2016,                0.83676,                 1.3205,                 1.4066,                 1.0691,                 1.3151,                0.76161,                0.69468,                0.77893,                0.57993,                  1.005,                0.72307,                 1.2616,                 1.0989,                0.86693,                 1.2757,              0.0073387,              0.0073387,              0.0073387
                      8,                 1.1547,                0.78516,                 1.2928,                 1.3657,                0.99202,                 1.2922,                0.76421,                0.70903,                0.78676,                0.58742,                0.96607,                0.69828,                 1.2455,                  1.054,                0.83855,                 1.2571,              0.0072064,              0.0072064,              0.0072064
                      9,                 1.1138,                 0.7487,                 1.2707,                 1.3253,                0.94247,                 1.2741,                0.76425,                0.73643,                0.78726,                 0.5898,                0.94591,                0.67735,                 1.2282,                  1.035,                0.83086,                 1.2433,              0.0070741,              0.0070741,              0.0070741
                     10,                 1.0866,                0.72074,                 1.2609,                 1.3005,                0.89291,                 1.2667,                 0.7894,                0.75231,                0.82388,                0.62867,                0.91516,                 0.6535,                  1.208,                 1.0217,                0.75348,                 1.2327,              0.0069419,              0.0069419,              0.0069419
                     11,                 1.0651,                0.70229,                 1.2502,                 1.2777,                0.86217,                 1.2594,                0.79155,                0.75824,                0.82731,                0.63511,                0.90152,                0.62547,                 1.2047,                 1.0061,                0.72976,                 1.2301,              0.0068096,              0.0068096,              0.0068096
                     12,                 1.0499,                0.68043,                 1.2306,                  1.274,                0.83666,                 1.2379,                0.81386,                0.76179,                 0.8414,                0.64694,                0.88773,                0.60602,                 1.1941,                0.99329,                0.69462,                 1.2188,              0.0066773,              0.0066773,              0.0066773
                     13,                 1.0283,                0.66887,                 1.2308,                 1.2429,                0.81576,                   1.24,                0.81186,                 0.7704,                0.84091,                0.65568,                0.88288,                0.59513,                 1.1893,                0.97711,                0.68282,                 1.2091,              0.0065451,              0.0065451,              0.0065451
                     14,                 1.0154,                0.65113,                 1.2239,                 1.2276,                0.78647,                 1.2337,                0.80008,                0.78893,                0.83996,                0.65215,                0.86807,                0.60896,                 1.1837,                0.97052,                0.68629,                 1.2052,              0.0064128,              0.0064128,              0.0064128
                     15,                 1.0012,                0.64053,                 1.2145,                 1.2123,                0.77293,                  1.222,                0.81865,                 0.7746,                0.85061,                0.66482,                0.85792,                0.57929,                 1.1719,                0.94975,                0.66719,                 1.1904,              0.0062805,              0.0062805,              0.0062805
                     16,                0.99299,                0.63162,                  1.207,                 1.2066,                0.75338,                 1.2152,                0.81952,                 0.7797,                0.85507,                 0.6672,                0.85571,                0.57308,                   1.17,                0.95598,                0.65107,                 1.1935,              0.0061483,              0.0061483,              0.0061483
                     17,                0.98179,                0.62613,                 1.2041,                 1.1951,                0.74554,                 1.2143,                0.83112,                0.78549,                0.86504,                0.67972,                 0.8422,                  0.555,                  1.161,                0.93885,                0.61663,                 1.1801,               0.006016,               0.006016,               0.006016
