                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2107,                 2.4404,                 3.1658,                 2.9046,                 3.0779,                 2.8432,                0.46362,                0.46257,                0.42684,                0.23918,                 1.7933,                 1.4324,                 1.9791,                 1.7236,                  1.934,                  1.835,               0.069373,              0.0026632,              0.0026632
                      2,                 1.7367,                 1.2134,                 1.7555,                  1.834,                 1.6358,                 1.6641,                0.58722,                0.56377,                0.57757,                0.36485,                 1.3865,                 1.1291,                 1.5582,                 1.4152,                 1.5784,                 1.5278,               0.038654,               0.005277,               0.005277
                      3,                 1.4987,                 1.0568,                 1.5295,                 1.6356,                 1.4061,                 1.4845,                 0.6651,                0.61948,                0.67078,                0.45183,                 1.2559,                0.94575,                 1.4408,                 1.3164,                 1.1813,                 1.4401,              0.0078811,              0.0078379,              0.0078379
                      4,                 1.3288,                0.93484,                 1.4031,                 1.4946,                 1.2118,                 1.3864,                0.69662,                0.68135,                0.71714,                0.51105,                  1.094,                0.85046,                 1.3231,                 1.1846,                   1.06,                 1.3328,              0.0077619,              0.0077619,              0.0077619
                      5,                 1.2283,                0.85811,                 1.3483,                 1.4072,                 1.0785,                 1.3406,                0.74124,                0.70324,                0.77735,                0.56624,                 1.0351,                0.80456,                 1.2738,                  1.141,                0.93433,                 1.3029,              0.0077619,              0.0077619,              0.0077619
                      6,                 1.1647,                0.79804,                 1.3099,                 1.3486,                0.99135,                 1.3066,                0.76997,                0.71728,                0.79428,                0.59732,                 0.9817,                0.70294,                 1.2475,                 1.0703,                0.82812,                 1.2603,              0.0076826,              0.0076826,              0.0076826
                      7,                 1.1137,                0.75017,                 1.2776,                 1.3053,                0.91711,                 1.2805,                0.77329,                0.74272,                0.81653,                0.61756,                0.97063,                0.68123,                 1.2344,                 1.0564,                0.76212,                 1.2515,              0.0076032,              0.0076032,              0.0076032
                      8,                 1.0784,                0.72151,                 1.2616,                 1.2697,                0.88214,                 1.2664,                0.77558,                 0.7468,                0.81562,                0.62437,                0.92947,                0.67053,                 1.2196,                 1.0292,                0.77513,                 1.2401,              0.0075238,              0.0075238,              0.0075238
                      9,                 1.0513,                 0.6953,                 1.2503,                 1.2444,                0.83705,                 1.2567,                0.79712,                0.75781,                0.83526,                 0.6403,                0.91643,                0.62155,                 1.2048,                 1.0114,                0.71236,                 1.2283,              0.0074445,              0.0074445,              0.0074445
                     10,                 1.0317,                0.67443,                 1.2381,                 1.2284,                0.81838,                 1.2458,                 0.8022,                0.76958,                0.83861,                0.64673,                0.90276,                0.60058,                 1.1972,                 1.0008,                0.69055,                 1.2223,              0.0073651,              0.0073651,              0.0073651
